id sitio replica taxon abundance class
1 L 1 Aphidoidea 4 mesofauna
2 L 1 "Aporrectodea caliginosa" 1 macrofauna
3 L 1 "Aporrectodea rosea" 1 macrofauna
4 L 1 "Aporrectodea trapezoides" 1 macrofauna
5 L 1 Astigmata 83 mesofauna
6 L 1 Carabidae 1 macrofauna
7 L 1 Cicadidae 3 macrofauna
8 L 1 Cryptophagidae 1 macrofauna
9 L 1 Cunaxide 3 mesofauna
10 L 1 Diplopoda 28 macrofauna
11 L 1 Enchytraeidae 222 mesofauna
12 L 1 Entomobriidae 5 mesofauna
13 L 1 Formicidae 3 macrofauna
14 L 1 Geophilomorpha 1 macrofauna
15 L 1 Hemiptera 1 macrofauna
16 L 1 Isotomidae 69 mesofauna
17 L 1 Lycosidae 10 macrofauna
18 L 1 Mesostigmata 5 mesofauna
19 L 1 "Octalasion cyaneum" 1 macrofauna
20 L 1 Oniscidea 3 macrofauna
21 L 1 Ortoptero 1 macrofauna
22 L 1 Staphylinidae 14 macrofauna
23 L 1 Symphyla 3 mesofauna
24 L 1 Tenebrionidae 1 macrofauna
25 L 1 Thysanoptera 10 macrofauna
26 L 1 ameroseidae 2 mesofauna
27 L 1 bdelloidea 1 mesofauna
28 L 1 dermanisoidea 10 mesofauna
29 L 1 epilohmania 1 mesofauna
30 L 1 eupodoidea 14 mesofauna
31 L 1 galumnidae 1 mesofauna
32 L 1 hipogastruridae 278 mesofauna
33 L 1 larva_Carabidae 10 macrofauna
34 L 1 larva_Elateridae 2 macrofauna
35 L 1 larva_Scarabidae 1 macrofauna
36 L 1 larva_Sciaridae 7 macrofauna
37 L 1 larva_Tenebrionidae 1 macrofauna
38 L 1 larva_diptero 30 macrofauna
39 L 1 microgyniidae 12 mesofauna
40 L 1 nem_bacterivoro 89 microfauna
41 L 1 nem_fitofago 22 microfauna
42 L 1 nem_fungivoro 66 microfauna
43 L 1 nem_omnivor 22 microfauna
44 L 1 nem_predador 13 microfauna
45 L 1 ologamasidae 3 mesofauna
46 L 1 onychiurudae 53 mesofauna
47 L 1 oppioidea 11 mesofauna
48 L 1 oribatida_juv 35 mesofauna
49 L 1 oribatulidae 48 mesofauna
50 L 1 oripodoidea 123 mesofauna
51 L 1 parasitidae 10 mesofauna
52 L 1 paratydeidae 6 mesofauna
53 L 1 penthaledidae 5 mesofauna
54 L 1 pupa_diptera 44 macrofauna
55 L 1 rhagidiidae 5 mesofauna
56 L 1 rhodacarioidea 5 mesofauna
57 L 1 scheloribatidae 2 mesofauna
58 L 1 teneriffidae 3 mesofauna
59 L 1 tydeioidea 17 mesofauna
60 L 2 "Aporrectodea caliginosa" 2 macrofauna
61 L 2 Astigmata 78 mesofauna
62 L 2 Diplopoda 21 macrofauna
63 L 2 Enchytraeidae 81 mesofauna
64 L 2 Entomobriidae 6 mesofauna
65 L 2 Formicidae 3 macrofauna
66 L 2 Grillopalpidae 1 macrofauna
67 L 2 Isotomidae 189 mesofauna
68 L 2 Juv_lom 5 macrofauna
69 L 2 Lycosidae 2 macrofauna
70 L 2 Mesostigmata 1 mesofauna
71 L 2 Oniscidea 3 macrofauna
72 L 2 Pythidae 1 macrofauna
73 L 2 Scolopendromorpha 1 macrofauna
74 L 2 Staphylinidae 3 macrofauna
75 L 2 Symphyla 2 mesofauna
76 L 2 Thysanoptera 8 macrofauna
77 L 2 bdelloidea 5 mesofauna
78 L 2 camisiidae 1 mesofauna
79 L 2 ceratozetoidea 6 mesofauna
80 L 2 dermanisoidea 8 mesofauna
81 L 2 epilohmania 1 mesofauna
82 L 2 eupodoidea 12 mesofauna
83 L 2 eviphidiidae 4 mesofauna
84 L 2 hipogastruridae 176 mesofauna
85 L 2 larva_Sciaridae 5 macrofauna
86 L 2 larva_Tenebrionidae 2 macrofauna
87 L 2 larva_diptero 12 macrofauna
88 L 2 microgyniidae 6 mesofauna
89 L 2 nem_bacterivoro 72 microfauna
90 L 2 nem_fitofago 85 microfauna
91 L 2 nem_fungivoro 184 microfauna
92 L 2 nem_omnivor 59 microfauna
93 L 2 nem_predador 72 microfauna
94 L 2 onychiurudae 12 mesofauna
95 L 2 oppioidea 5 mesofauna
96 L 2 oribatulidae 1 mesofauna
97 L 2 oripodoidea 44 mesofauna
98 L 2 paratydeidae 11 mesofauna
99 L 2 penthaledidae 4 mesofauna
100 L 2 pupa_diptera 28 macrofauna
101 L 2 rhodacarioidea 7 mesofauna
102 L 2 symphipleona 3 mesofauna
103 L 2 teneriffidae 5 mesofauna
104 L 2 tydeioidea 12 mesofauna
105 L 2 veigaioidea 1 mesofauna
106 L 3 Aphidoidea 13 mesofauna
107 L 3 Astigmata 58 mesofauna
108 L 3 Blattodea 1 macrofauna
109 L 3 Carabidae 2 macrofauna
110 L 3 Cicadidae 1 macrofauna
111 L 3 Cryptophagidae 3 macrofauna
112 L 3 Cunaxide 1 mesofauna
113 L 3 Diplopoda 2 macrofauna
114 L 3 Enchytraeidae 31 mesofauna
115 L 3 Entomobriidae 7 mesofauna
116 L 3 Formicidae 2 macrofauna
117 L 3 Geophilomorpha 1 macrofauna
118 L 3 Grillopalpidae 1 macrofauna
119 L 3 Hemiptera 1 macrofauna
120 L 3 Heteroptera 1 macrofauna
121 L 3 Himenoptero 1 macrofauna
122 L 3 Isotomidae 39 mesofauna
123 L 3 Juv_lom 1 macrofauna
124 L 3 Linyphiidae 2 macrofauna
125 L 3 Lycosidae 3 macrofauna
126 L 3 Mesostigmata 5 mesofauna
127 L 3 Nematomorpha 3 macrofauna
128 L 3 Oniscidea 4 macrofauna
129 L 3 Pythidae 1 macrofauna
130 L 3 Staphylinidae 8 macrofauna
131 L 3 Thysanoptera 17 macrofauna
132 L 3 Trogossitidae 1 macrofauna
133 L 3 bdelloidea 3 mesofauna
134 L 3 ceratozetoidea 10 mesofauna
135 L 3 crisalida_insecto 1 macrofauna
136 L 3 dermanisoidea 9 mesofauna
137 L 3 epilohmania 12 mesofauna
138 L 3 eupodoidea 12 mesofauna
139 L 3 hipogastruridae 193 mesofauna
140 L 3 larva_Carabidae 3 macrofauna
141 L 3 larva_Sciaridae 9 macrofauna
142 L 3 larva_diptero 7 macrofauna
143 L 3 microgyniidae 2 mesofauna
144 L 3 nem_bacterivoro 155 microfauna
145 L 3 nem_fitofago 24 microfauna
146 L 3 nem_fungivoro 48 microfauna
147 L 3 nem_omnivor 103 microfauna
148 L 3 nem_predador 48 microfauna
149 L 3 onychiurudae 9 mesofauna
150 L 3 oppioidea 14 mesofauna
151 L 3 oribatulidae 7 mesofauna
152 L 3 oripodoidea 51 mesofauna
153 L 3 paratydeidae 2 mesofauna
154 L 3 penthaledidae 1 mesofauna
155 L 3 pupa_diptera 10 macrofauna
156 L 3 rhagidiidae 1 mesofauna
157 L 3 rhodacarioidea 4 mesofauna
158 L 3 smaridae 2 mesofauna
159 L 3 symphipleona 12 mesofauna
160 L 3 tarditigrado 10 mesofauna
161 L 3 teneriffidae 1 mesofauna
162 L 3 veigaioidea 5 mesofauna
163 P 1 Aphidoidea 9 mesofauna
164 P 1 "Aporrectodea rosea" 1 macrofauna
165 P 1 "Aporrectodea trapezoides" 1 macrofauna
166 P 1 Astigmata 18 mesofauna
167 P 1 Blattodea 3 macrofauna
168 P 1 Carabidae 9 macrofauna
169 P 1 Coccinelidae 1 macrofauna
170 P 1 Cunaxide 18 mesofauna
171 P 1 Diplopoda 5 macrofauna
172 P 1 Enchytraeidae 66 mesofauna
173 P 1 Entomobriidae 16 mesofauna
174 P 1 Formicidae 6 macrofauna
175 P 1 Geophilomorpha 2 macrofauna
176 P 1 Hemiptera 1 macrofauna
177 P 1 Isotomidae 155 mesofauna
178 P 1 Japygidae 1 mesofauna
179 P 1 Juv_lom 12 macrofauna
180 P 1 Linyphiidae 2 macrofauna
181 P 1 Lycosidae 1 macrofauna
182 P 1 Oniscidea 60 macrofauna
183 P 1 Ptiliidae 5 macrofauna
184 P 1 Staphylinidae 16 macrofauna
185 P 1 Symphyla 2 mesofauna
186 P 1 Tenebrionidae 2 macrofauna
187 P 1 Trogossitidae 1 macrofauna
188 P 1 Trombidiidae 2 mesofauna
189 P 1 anystidae 2 mesofauna
190 P 1 bdelloidea 26 mesofauna
191 P 1 camisiidae 9 mesofauna
192 P 1 ceratozetoidea 7 mesofauna
193 P 1 dermanisoidea 16 mesofauna
194 P 1 dermapteta 1 macrofauna
195 P 1 embrioptera 2 macrofauna
196 P 1 epilohmania 2 mesofauna
197 P 1 eupodoidea 9 mesofauna
198 P 1 euptiracarioidea 1 mesofauna
199 P 1 eviphidiidae 10 mesofauna
200 P 1 galumnidae 1 mesofauna
201 P 1 hipogastruridae 46 mesofauna
202 P 1 larva_Scarabidae 2 macrofauna
203 P 1 larva_Sciaridae 1 macrofauna
204 P 1 larva_diptero 13 macrofauna
205 P 1 nem_bacterivoro 170 microfauna
206 P 1 nem_fitofago 8 microfauna
207 P 1 nem_fungivoro 178 microfauna
208 P 1 nem_omnivor 116 microfauna
209 P 1 nem_predador 85 microfauna
210 P 1 onychiurudae 49 mesofauna
211 P 1 oppioidea 43 mesofauna
212 P 1 oribatulidae 21 mesofauna
213 P 1 oripodoidea 192 mesofauna
214 P 1 parasitidae 44 mesofauna
215 P 1 rhagidiidae 28 mesofauna
216 P 1 rhodacarioidea 45 mesofauna
217 P 1 tarditigrado 111 mesofauna
218 P 1 teneriffidae 5 mesofauna
219 P 1 veigaioidea 3 mesofauna
220 P 2 Anthribidae 4 macrofauna
221 P 2 "Aporrectodea trapezoides" 1 macrofauna
222 P 2 Astigmata 23 mesofauna
223 P 2 Carabidae 4 macrofauna
224 P 2 Enchytraeidae 3 mesofauna
