"nombre" "sitio" "estrato" "replica" "taxa" "body_mass" "ab"
"1" "L 1" "L" "10" 1 "Apodorrectodea caliginosa" 84900 1
"2" "L 1" "L" "10" 1 "Apodorrectodea trapezoides" 118800 1
"3" "L 1" "L" "10" 1 "Aporrectodea rosea" 48000 1
"4" "L 1" "L" "10" 1 "Octalasion cyaneum" 58200 1
"5" "L 1" "L" "10" 1 "arannae" 4 1
"6" "L 1" "L" "10" 1 "bacterivoro" 1,58880897642677 24
"7" "L 1" "L" "10" 1 "cicadidae" 593,944544209316 1
"8" "L 1" "L" "10" 1 "cryptophagidae" 3600 1
"9" "L 1" "L" "10" 1 "diplopoda" 14580 20
"10" "L 1" "L" "10" 1 "enquitreido" 1383,40999878125 46
"11" "L 1" "L" "10" 1 "entomobriidae" 128,066307297539 2
"12" "L 1" "L" "10" 1 "fitofago" 0,290272846584728 8
"13" "L 1" "L" "10" 1 "formicidae" 541,466667048731 3
"14" "L 1" "L" "10" 1 "fungivoro" 3,30806388938677 20
"15" "L 1" "L" "10" 1 "geophylomorpha" 630,784426022534 1
"16" "L 1" "L" "10" 1 "hipogastruridae" 8,96177736319605 10
"17" "L 1" "L" "10" 1 "larva_diptero" 1478,71826115117 1
"18" "L 1" "L" "10" 1 "larva_scarabidae" 488400 1
"19" "L 1" "L" "10" 1 "larva_sciaridae" 3347,08822581161 1
"20" "L 1" "L" "10" 1 "larva_tenebrionidae" 5200 1
"21" "L 1" "L" "10" 1 "lycosidae" 7800 4
"22" "L 1" "L" "10" 1 "mesostigmata" 90,3092464735585 1
"23" "L 1" "L" "10" 1 "omnivoro" 12,589212427066 7
"24" "L 1" "L" "10" 1 "onichiuridae" 6,74151668751198 10
"25" "L 1" "L" "10" 1 "oniscoidea" 2800 1
"26" "L 1" "L" "10" 1 "ortoptero" 16800 1
"27" "L 1" "L" "10" 1 "predador" 1,93618686269575 4
"28" "L 1" "L" "10" 1 "pupa_diptero" 1556,1615335 2
"29" "L 1" "L" "10" 1 "staphiliniidae" 799,573416499587 1
"30" "L 1" "L" "10" 1 "staphylinidae" 2977,78280492762 9
"31" "L 1" "L" "10" 1 "symphyla" 3,62151382265188 1
"32" "L 1" "L" "10" 1 "tenebrionidae" 21600 1
"33" "L 1" "L" "20" 1 "diplopoda" 6400 1
"34" "L 1" "L" "20" 1 "larva_elateridae" 1800 2
"35" "L 1" "L" "Frag" 1 "afido" 368,053468361292 2
"36" "L 1" "L" "Frag" 1 "amerosidae" 67,2811196022078 3
"37" "L 1" "L" "Frag" 1 "astigmata" 33,4374642332452 5
"38" "L 1" "L" "Frag" 1 "cicadidae" 143,420565017962 1
"39" "L 1" "L" "Frag" 1 "enquitreido" 1663,03515518275 56
"40" "L 1" "L" "Frag" 1 "entomobridae" 31,3569743021627 2
"41" "L 1" "L" "Frag" 1 "eupodoidea" 3,40980388003639 1
"42" "L 1" "L" "Frag" 1 "hipogastruridae" 9,14467442437912 7
"43" "L 1" "L" "Frag" 1 "isotomidae" 16,6536594348571 1
"44" "L 1" "L" "Frag" 1 "larva_diptero" 656,838527747062 9
"45" "L 1" "L" "Frag" 1 "larva_sciaridae" 460,072058643738 3
"46" "L 1" "L" "Frag" 1 "ologamasidae" 117,327692161625 2
"47" "L 1" "L" "Frag" 1 "onichiuridae" 16,539295557655 3
"48" "L 1" "L" "Frag" 1 "oribatulidae" 36,1296349812397 3
"49" "L 1" "L" "Frag" 1 "oripodidae" 14,8524041532756 2
"50" "L 1" "L" "Frag" 1 "parasitidae" 142,038147334261 7
"51" "L 1" "L" "Frag" 1 "penthalidae" 6,34208538576798 1
"52" "L 1" "L" "Frag" 1 "scheloribates" 17,2633571309092 2
"53" "L 1" "L" "Frag" 1 "trip" 232,893334926979 1
"54" "L 1" "L" "H" 1 "afido" 807,2086147867 1
"55" "L 1" "L" "H" 1 "carabidae" 285,55905328639 1
"56" "L 1" "L" "H" 1 "cunaxide" 159,47734737133 1
"57" "L 1" "L" "H" 1 "diplopoda" 10560 5
"58" "L 1" "L" "H" 1 "enquitreido" 1148,05489505948 2
"59" "L 1" "L" "H" 1 "entomobriidae" 91,7301770331402 1
"60" "L 1" "L" "H" 1 "larva_carabidae" 7276,056963 1
"61" "L 1" "L" "H" 1 "lycosidae" 20880 5
