FAMILY,RESOURCE,n,freq
Acaridae,m.fau,2,0.4
Acaridae,sap. fun.,3,0.6
Acaronychidae,m.fau,2,0.5
Acaronychidae,sap. fun.,2,0.5
Achipteriidae,bac.,6,0.15789473684210525
Achipteriidae,humus,1,0.02631578947368421
Achipteriidae,litter,11,0.2894736842105263
Achipteriidae,m.fau,2,0.05263157894736842
Achipteriidae,myco.,2,0.05263157894736842
Achipteriidae,plant,9,0.23684210526315788
Achipteriidae,sap. fun.,7,0.18421052631578946
Adamystidae,coll.,2,0.5
Adamystidae,m.fau,1,0.25
Adamystidae,mites,1,0.25
Alicorhagiidae,bac.,2,0.11764705882352941
Alicorhagiidae,m.fau,8,0.47058823529411764
Alicorhagiidae,plant,1,0.058823529411764705
Alicorhagiidae,sap. fun.,6,0.35294117647058826
Allothyridae,carrion,3,1
Ameridae,carrion,1,0.2
Ameridae,litter,1,0.2
Ameridae,m.fau,1,0.2
Ameridae,sap. fun.,2,0.4
Amerobelbidae,sap. fun.,1,1
Ameronothridae,bac.,1,0.125
Ameronothridae,plant,7,0.875
Ameroseiidae,bac.,1,0.1111111111111111
Ameroseiidae,coll.,1,0.1111111111111111
Ameroseiidae,eggs,1,0.1111111111111111
Ameroseiidae,m.fau,1,0.1111111111111111
Ameroseiidae,mites,1,0.1111111111111111
Ameroseiidae,myco.,1,0.1111111111111111
Ameroseiidae,sap. fun.,3,0.3333333333333333
Anystidae,coll.,2,0.2857142857142857
Anystidae,eggs,1,0.14285714285714285
Anystidae,enchy.,1,0.14285714285714285
Anystidae,larvae,1,0.14285714285714285
Anystidae,m.fau,1,0.14285714285714285
Anystidae,mites,1,0.14285714285714285
Archeonothridae,carrion,1,0.5
Archeonothridae,sap. fun.,1,0.5
Arrhopalitidae,bac.,1,0.2
Arrhopalitidae,humus,1,0.2
Arrhopalitidae,litter,1,0.2
Arrhopalitidae,plant,1,0.2
Arrhopalitidae,sap. fun.,1,0.2
Ascidae,coll.,40,0.22346368715083798
Ascidae,eggs,21,0.11731843575418995
Ascidae,enchy.,18,0.1005586592178771
Ascidae,larvae,19,0.10614525139664804
Ascidae,m.fau,53,0.29608938547486036
Ascidae,mites,25,0.13966480446927373
Ascidae,sap. fun.,3,0.01675977653631285
Astegistidae,bac.,4,0.36363636363636365
Astegistidae,litter,2,0.18181818181818182
Astegistidae,myco.,1,0.09090909090909091
Astegistidae,plant,1,0.09090909090909091
Astegistidae,sap. fun.,3,0.2727272727272727
Asternoseiidae,coll.,2,0.15384615384615385
Asternoseiidae,enchy.,2,0.15384615384615385
Asternoseiidae,m.fau,2,0.15384615384615385
Asternoseiidae,mites,3,0.23076923076923078
Asternoseiidae,sap. fun.,4,0.3076923076923077
Barbutiidae,coll.,1,0.3333333333333333
Barbutiidae,m.fau,1,0.3333333333333333
Barbutiidae,mites,1,0.3333333333333333
Bdellidae,coll.,4,0.4444444444444444
Bdellidae,eggs,1,0.1111111111111111
Bdellidae,enchy.,1,0.1111111111111111
Bdellidae,larvae,1,0.1111111111111111
Bdellidae,mites,2,0.2222222222222222
Bdelloidea,coll.,5,0.5
Bdelloidea,mites,5,0.5
Belbidae,m.fau,1,0.25
Belbidae,sap. fun.,3,0.75
