"sitio" "taxa" "body" "biomass" "ef"
"1" "L" "Aporrectodea caliginosa" 63712.5 1522200 0.4
"2" "L" "Aporrectodea rosea" 48000 768000 0.4
"3" "L" "Aporrectodea trapezoides" 36600 585600 0.4
"4" "L" "Octalasion cyaneum" 58200 931200 0.4
"5" "L" "ameroseidae" 157.022943214129 479705.091519164 0.7
"6" "L" "aphidoidea" 496.111049539678 5413333.02088725 0.125
"7" "L" "astigmata" 28.6369125024946 1683770.70507914 0.25
"8" "L" "bac" 0.00095 27727261.2270715 0.35
"9" "L" "bdelloidea" 6.17456899819376 24714.3856500995 0.7
"10" "L" "blattodea" 306.782942011396 4908.52707218234 0.25
"11" "L" "carabidae" 577.222531986492 16186.6485972766 0.7
"12" "L" "ceratozetoidea" 26.7399505120629 223392.952428984 0.4
"13" "L" "cicadidae" 457.312079821463 7890.67553721526 0.125
"14" "L" "cryptophagidae" 3598 115120 0.4
"15" "L" "cunaxide" 159.47734737133 487203.296219413 0.7
"16" "L" "dermanisoidea" 52.1943097647321 720016.418893976 0.7
"17" "L" "diplopoda" 10796.9963369963 1267413.33333333 0.25
"18" "L" "enchytraeida" 1740.86910089552 149939463.351222 0.4
"19" "L" "entomobridae" 117.129567041372 509049.343561565 0.4
"20" "L" "epilhomanioidea" 47.6430667018203 339663.303539511 0.4
"21" "L" "eremobelbidae" 58.3852526401901 89154.2807815703 0.4
"22" "L" "eupodoidea" 3.93874976519868 39944.8323655655 0.25
"23" "L" "eviphididae" 35.941044201724 219635.721116735 0.7
"24" "L" "formicidae" 545.84453536449 26200.5376974955 0.25
"25" "L" "fungi" 0.23 62717814.0417457 0.35
"26" "L" "galumnidae" 94.7973562000797 144755.562917522 0.4
"27" "L" "geophylomorpha" 2654.82886408813 42477.2618254101 0.7
"28" "L" "grillopalpidae" 117400 1878400 0.7
"29" "L" "hemiptero" 5995.02670504597 95920.4272807354 0.125
"30" "L" "hipogastruridae" 15.8017648517602 2863224.89458517 0.25
"31" "L" "isotomidae" 8.89987806199966 1036877.83741985 0.4
"32" "L" "juvenil" 39420 1694400 0.4
"33" "L" "larva_carabidae" 24649.3049606 591583.3190544 0.7
"34" "L" "larva_diptera" 2275.17368664914 26666691.4891595 0.25
"35" "L" "larva_scarabidae" 488400 7814400 0.25
"36" "L" "larva_sciaridae" 1499.05411033428 10479976.3281763 0.25
"37" "L" "larva_tenebrionidae" 4100 8552700 0.25
"38" "L" "linyphiidae" 7400 118400 0.7
"39" "L" "lycosidae" 47735.5555555556 1268800 0.7
"40" "L" "macropilina" 79.2427624886036 121003.698320098 0.4
"41" "L" "mesostigmata" 82.496923954612 485905.283968455 0.7
"42" "L" "nem_bacterivoro" 2.09933283968633 486878.696541012 0.4
"43" "L" "nem_fitofago" 1.1534831733863 100054.438844555 0.4
"44" "L" "nem_fungivoro" 7.84436797757109 2002920.03376466 0.4
"45" "L" "nem_omnivor" 16.7574501743809 2620175.86711239 0.25
"46" "L" "nem_predador" 4.09430249182464 432679.060418963 0.7
"47" "L" "nematomorpha" 2400 115200 0.1
"48" "L" "ologamasidae" 117.821931194296 507196.461973573 0.7
"49" "L" "onichiuridae" 6.68640209913331 150400.194654809 0.4
"50" "L" "oniscidea" 19888.8888888889 18385611.1111111 0.25
"51" "L" "oppioidea" 12.1932033667913 95083.9759058091 0.4
"52" "L" "oribatulidae" 32.6435005960649 657377.816726518 0.4
"53" "L" "oripodidae" 20.1583293775029 1193637.16403944 0.4
"54" "L" "ortoptero" 16800 268800 0.125
"55" "L" "parasitidae" 29.3771779959162 332880.48492066 0.7
"56" "L" "penthalidae" 11.0941661143781 45058.2305322702 0.25
"57" "L" "proto" 0.0011121 6783380.64516129 0.25
"58" "L" "pupa_diptera" 3196.5263045307 81332070.4131185 0.25
"59" "L" "rhagidiidae" 9.05700146929889 19123.0382484075 0.7
"60" "L" "rhodacarioidea" 9.30492234451316 54726.8320324318 0.7
"61" "L" "scheloribatidae" 19.5766343801861 435186.533842688 0.4
"62" "L" "staphiliniidae" 1327.507269747 8816958.97755139 0.7
"63" "L" "symphyla" 6.91481493670839 14878.5923749171 0.4
"64" "L" "symphypleona" 37.8845742421635 412735.110388836 0.4
"65" "L" "tardigrado" 88.2871694540196 1348851.37491851 0.25
"66" "L" "tenebrionidae" 21600 345600 0.25
"67" "L" "teneriffidae" 4.11732025543891 22647.9869456209 0.7
"68" "L" "thysanoptera" 164.195762510561 2543524.42758308 0.125
"69" "L" "trogossitidae" 3600 57600 0.25
"70" "L" "tydeioidea" 6.34663795333609 134525.819862271 0.25
"71" "L" "veigaioidea" 218.5115 1462173.5997 0.7
