"sitio" "taxa" "body" "biomass" "ef"
"1" "R" "Aporrectodea caliginosa" 49312.5 789000 0.4
"2" "R" "Aporrectodea rosea" 28650 458400 0.4
"3" "R" "Aporrectodea trapezoides" 36600 1171200 0.4
"4" "R" "Bimastos beddardi sophiae" 51637.5 3304800 0.4
"5" "R" "Bimastos parvus" 3450 55200 0.4
"6" "R" "aphidoidea" 76.0380495973795 151462.701740205 0.125
"7" "R" "arctacaridae" 16.5156426883902 48178.0117041693 0.7
"8" "R" "astigmata" 8.26734661471739 96223.5948743975 0.25
"9" "R" "bac" 0.00095 51248611.7902248 0.35
"10" "R" "bdelloidea" 6.55174113819738 30026.6296363586 0.7
"11" "R" "blattodea" 5200 83200 0.25
"12" "R" "carabidae" 7122.32482841056 206228.789018276 0.7
"13" "R" "ceratozetoidea" 23.734058243259 933304.082447909 0.4
"14" "R" "cicadidae" 92200 8851200 0.125
"15" "R" "coleoptera_suctor" 345.622118190449 5529.95389104718 0.125
"16" "R" "cryptophagidae" 3598 57568 0.4
"17" "R" "diplopoda" 23288.8888888889 433066.666666667 0.25
"18" "R" "diplura" 35.3609261387459 53996.134213865 0.4
"19" "R" "elateriforme" 4400 70400 0.25
"20" "R" "enchytraeida" 1308.25129246005 75526748.9080394 0.4
"21" "R" "entomobridae" 113.570185595591 829132.223908513 0.4
"22" "R" "epilhomanioidea" 32.8270604553099 300925.663193826 0.4
"23" "R" "eremobelbidae" 65.4021476643181 1054708.03718347 0.4
"24" "R" "eupodoidea" 3.60314391739754 13261.1746246249 0.25
"25" "R" "eupthiracaroidea" 56.2815086361735 1656861.7064421 0.25
"26" "R" "eviphididae" 22.0593939365512 67252.0174533986 0.7
"27" "R" "formicidae" 1231.06474897727 210049.875278603 0.25
"28" "R" "fungi" 0.23 127446948.291242 0.35
"29" "R" "galumnidae" 53.2721170637228 519255.195784145 0.4
"30" "R" "gasteropoda" 21132.9948940174 5774047.39761562 0.25
"31" "R" "geophylomorpha" 7357.32727359712 368923.13770409 0.7
"32" "R" "hemiptero" 7596.02136403677 121536.341824588 0.125
"33" "R" "hipogastruridae" 12.5921757705413 203183.600777354 0.25
"34" "R" "isotomidae" 37.3647889140119 716595.701015855 0.4
"35" "R" "juvenil" 11551.2343358396 3218400 0.4
"36" "R" "laelapidae" 19.6580365527955 30017.8218161187 0.7
"37" "R" "larva_carabidae" 5970.46784 95527.48544 0.7
"38" "R" "larva_coleoptero" 3708.1573805 59330.518088 0.25
"39" "R" "larva_curculionidae" 6600 211200 0.125
"40" "R" "larva_diptera" 1801.49259592473 5849684.85578583 0.25
"41" "R" "larva_elateridae" 3066.66666666667 64000 0.25
"42" "R" "larva_scarabidae" 11200 179200 0.25
"43" "R" "larva_sciaridae" 5727.35126185791 82383356.4725525 0.25
"44" "R" "limnozetidae" 16.1585425231335 49364.3474081728 0.25
"45" "R" "linyphiidae" 3400 54400 0.7
"46" "R" "lycosidae" 4983.51631828412 229826.504645991 0.7
"47" "R" "mesostigmata" 70.3649067190756 107447.212560028 0.7
"48" "R" "nem_bacterivoro" 2.61756065337974 1527185.96771136 0.4
"49" "R" "nem_fitofago" 1.39179205966307 528944.87979271 0.4
"50" "R" "nem_fungivoro" 6.17050176961297 3498553.88161344 0.4
"51" "R" "nem_omnivor" 20.5629798887231 4673459.85790064 0.25
"52" "R" "nem_predador" 6.71077332556145 590267.162260034 0.7
"53" "R" "nematomorpha" 3073.33333333333 259200 0.1
"54" "R" "ologamasidae" 57.480695519899 351264.530322103 0.7
"55" "R" "onichiuridae" 3.51900752418688 133774.943496714 0.4
"56" "R" "oniscidea" 12676.5289098622 261467034.992135 0.25
"57" "R" "oppioidea" 11.7290400123501 188352.69132882 0.4
"58" "R" "oribatulidae" 22.1853476311497 357093.129932951 0.4
"59" "R" "oripodidae" 14.6179147482869 492494.769057831 0.4
"60" "R" "parasitidae" 18.16326430154 95302.321387233 0.7
"61" "R" "proto" 0.0011121 13402167.00611 0.25
"62" "R" "protura" 1.84496997188079 2817.26914706197 0.4
"63" "R" "pseudoscorpionida" 832.55375895074 13320.8601432118 0.7
"64" "R" "ptilidae" 1702.8697399066 27245.9158385056 0.25
"65" "R" "pupa_diptera" 4523.297320125 20730271.6181329 0.25
"66" "R" "rhagidiidae" 4.01709228383795 34963.4761420012 0.7
"67" "R" "rhodacarioidea" 6.7386491326885 38216.700877618 0.7
"68" "R" "scheloribatidae" 18.1051963303749 318794.127476371 0.4
"69" "R" "staphiliniidae" 2447.99020857349 5137099.94020186 0.7
"70" "R" "symphyla" 6.37027581320859 9727.41116676951 0.4
"71" "R" "symphypleona" 73.030945525129 185443.911776745 0.4
"72" "R" "tardigrado" 296.849672858462 7562245.23136526 0.25
"73" "R" "teneriffidae" 9.06274985615141 27686.7008105426 0.7
"74" "R" "thysanoptera" 183.560050435934 560775.954081778 0.125
"75" "R" "trogossitidae" 8400 134400 0.25
"76" "R" "tydeioidea" 5.2666768211864 15338.9394685334 0.25
"77" "R" "uropodoidea" 72.3555886552244 366255.199886568 0.7
"78" "R" "veigaioidea" 218.1996 1310529.156 0.7
