ID	system	site	sample	month	year	specie	biomass	length	width	season	class	order	habitat	guild	P	MO	CE	Ph	DAP	HR	Ca	Mg	Sodio	K	N	ARA	RESP	RM5	RM10	bm	POM	LATITUD	LONGITUD	Latitud	Longitud	X	Y
1	N	triangulo	centro	agosto	2008	linyphiidae	182.8524234	1844.8236	636.7738	I	macrofauna	Araneae	hemiedaphic	predator	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
2	N	triangulo	centro	agosto	2008	oripodoidea	4.231268573	407.1787	249.771	I	acari	oribatida	hemiedaphic	detritivore	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
3	N	triangulo	centro	agosto	2008	oripodoidea	5.607165356	440.5512	278.7997	I	acari	oribatida	hemiedaphic	detritivore	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
4	N	triangulo	centro	agosto	2008	oripodoidea	1.920486347	328.0422	182.4331	I	acari	oribatida	hemiedaphic	detritivore	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
5	N	triangulo	centro	agosto	2008	oripodoidea	2.09474036	322.4903	197.9811	I	acari	oribatida	hemiedaphic	detritivore	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
6	N	triangulo	centro	agosto	2008	oripodoidea	2.181292353	327.52	200.1733	I	acari	oribatida	hemiedaphic	detritivore	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
7	N	triangulo	centro	agosto	2008	oripodoidea	2.069670116	307.9393	207.0576	I	acari	oribatida	hemiedaphic	detritivore	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
8	N	triangulo	centro	agosto	2008	oppioidea	0.417736237	213.6205	100.796	I	acari	oribatida	euedaphic	microphytophages	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
9	N	triangulo	centro	agosto	2008	oppioidea	0.785183346	253.167	129.9724	I	acari	oribatida	euedaphic	microphytophages	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
10	N	triangulo	centro	agosto	2008	oppioidea	1.088492629	282.4022	144.6294	I	acari	oribatida	euedaphic	microphytophages	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
11	N	triangulo	centro	agosto	2008	oppioidea	4.577495438	446.2876	237.6027	I	acari	oribatida	euedaphic	microphytophages	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
12	N	triangulo	centro	agosto	2008	oppioidea	2.487904791	348.815	204.4324	I	acari	oribatida	euedaphic	microphytophages	11.57	2.23	1.8	6.87	1.12	0.18	6.5	1.55	1	0.97	0.35	1.2871	0.177723378	5.7	9.6	854323.38698112	749280000	S 35º 03´289´´	W 59º 41´043´´	35.1302777777778	59.6952777777778	-35.1302777777778	-59.6952777777778
