,sitio,replica,microhabitat,clase_tam,gremio,taxa,abundance,bio.ind
1,A,1,10,macro,detritivoro,Aporrectodea_caliginosa,1,84900
2,A,1,10,macro,detritivoro,Aporrectodea_rosea,1,48000
3,A,1,10,macro,detritivoro,Aporrectodea_trapezoides,1,118800
4,A,1,10,macro,detritivoro,Octalasion_cyaneum,1,58200
5,A,1,10,macro,detritivoro,diplopoda,20,14580
6,A,1,10,macro,detritivoro,larva_scarabaeidae,1,488400
7,A,1,10,macro,detritivoro,larva_tenebrionidae,1,5200
8,A,1,10,macro,detritivoro,oniscoidea,1,2800
9,A,1,10,macro,detritivoro,tenebrionidae,1,21600
10,A,1,10,macro,herbivoro,cicadidae,1,593.944544209316
11,A,1,10,macro,herbivoro,ortoptero,1,16800
12,A,1,10,macro,microfitofago,cryptophagidae,1,3600
13,A,1,10,macro,predador,arannae,1,400
14,A,1,10,macro,predador,formicidae,3,541.466667048731
15,A,1,10,macro,predador,geophylomorpha,1,630.784426022534
16,A,1,10,macro,predador,lycosidae,4,7800
17,A,1,10,macro,predador,staphylinidae,10,2759.96186608482
18,A,1,10,meso,detritivoro,enquitreido,68,1383.40999878125
19,A,1,10,meso,detritivoro,larva_diptera,1,1478.71826115117
20,A,1,10,meso,detritivoro,pupa_diptera,2,1556.1615335
21,A,1,10,meso,microfitofago,entomobryoidea,2,128.066307297539
22,A,1,10,meso,microfitofago,larva_sciaridae,1,3347.08822581161
23,A,1,10,meso,microfitofago,onichiuridae,40,6.74151668751198
24,A,1,10,meso,microfitofago,symphyla,1,3.62151382265188
25,A,1,10,meso,omnivoro,hipogastruridae,10,8.96177736319605
26,A,1,10,meso,predador,mesostigmata,1,90.3092464735585
27,A,1,10,micro,herbivoro,fitofago,22,0.290272846584728
28,A,1,10,micro,microfitofago,bacterivoro,89,1.58880897642677
29,A,1,10,micro,microfitofago,fungivoro,66,3.30806388938677
30,A,1,10,micro,omnivoro,omnivoro,22,12.589212427066
31,A,1,10,micro,predador,predador,13,1.93618686269575
32,A,1,20,macro,detritivoro,diplopoda,1,6400
33,A,1,20,macro,microfitofago,larva_elateridae,2,1800
34,A,1,Frag,macro,herbivoro,cicadidae,1,143.420565017962
35,A,1,Frag,meso,detritivoro,enquitreido,56,1663.03515518275
36,A,1,Frag,meso,detritivoro,isotomidae,1,16.6536594348571
37,A,1,Frag,meso,detritivoro,larva_diptera,9,656.838527747062
38,A,1,Frag,meso,detritivoro,oripodidae,2,14.8524041532756
39,A,1,Frag,meso,detritivoro,scheloribates,2,17.2633571309092
40,A,1,Frag,meso,herbivoro,afido,2,368.053468361292
41,A,1,Frag,meso,herbivoro,trip,1,232.893334926979
42,A,1,Frag,meso,microfitofago,entomobryoidea,2,31.3569743021627
43,A,1,Frag,meso,microfitofago,larva_sciaridae,3,460.072058643738
44,A,1,Frag,meso,microfitofago,onichiuridae,3,16.539295557655
45,A,1,Frag,meso,microfitofago,oribatulidae,3,36.1296349812397
46,A,1,Frag,meso,omnivoro,astigmata,5,33.4374642332452
47,A,1,Frag,meso,omnivoro,hipogastruridae,7,9.14467442437912
48,A,1,Frag,meso,predador,amerosidae,3,67.2811196022078
49,A,1,Frag,meso,predador,eupodoidea,1,3.40980388003639
50,A,1,Frag,meso,predador,ologamasidae,2,117.327692161625
51,A,1,Frag,meso,predador,parasitidae,7,142.038147334261
52,A,1,Frag,meso,predador,penthalidae,1,6.34208538576798
53,A,1,H,macro,detritivoro,diplopoda,5,10560
54,A,1,H,macro,detritivoro,oniscoidea,2,3800
55,A,1,H,macro,predador,carabidae,1,285.55905328639
56,A,1,H,macro,predador,larva_carabidae,1,7276.056963
57,A,1,H,macro,predador,lycosidae,5,20880
58,A,1,H,macro,predador,staphylinidae,3,924.636128828414
59,A,1,H,meso,detritivoro,enquitreido,2,1148.05489505948
60,A,1,H,meso,detritivoro,oribatido,1,10.9127275216957
61,A,1,H,meso,herbivoro,afido,1,807.2086147867
62,A,1,H,meso,microfitofago,entomobryoidea,1,91.7301770331402
63,A,1,H,meso,predador,cunaxide,1,159.47734737133
64,A,1,H,meso,predador,mesostigmata,4,118.039930008742
65,A,1,Hoja,meso,detritivoro,enquitreido,12,3154.18684739216
66,A,1,Hoja,meso,detritivoro,oripodidae,2,26.3686134536375
67,A,1,Hoja,meso,detritivoro,pupa_diptera,15,6890.71952853333
68,A,1,Hoja,meso,detritivoro,scheloribates,1,34.9642481224616
69,A,1,Hoja,meso,herbivoro,afido,1,208.167390813731
70,A,1,Hoja,meso,herbivoro,trip,1,100.371887003788
71,A,1,Hoja,meso,microfitofago,larva_sciaridae,2,333.032276074269
72,A,1,Hoja,meso,omnivoro,hipogastruridae,2,19.0504279420001
73,A,1,Hoja,meso,predador,amerosidae,1,78.0095484094564
74,A,1,Hoja,meso,predador,parholaspidae,1,93.0475453217564
75,A,1,humus,meso,detritivoro,ceratozetoidea,20,23.3124443026105
76,A,1,humus,meso,detritivoro,enquitreido,10,1388.18366931858
77,A,1,humus,meso,detritivoro,isotomidae,27,9.59068361308165
78,A,1,humus,meso,detritivoro,larva_diptera,6,50.5918059790195
79,A,1,humus,meso,detritivoro,oripodidae,13,22.2861588121695
80,A,1,humus,meso,detritivoro,pupa_diptera,11,1333.87055218182
81,A,1,humus,meso,detritivoro,scheloribates,20,16.8108544601879
82,A,1,humus,meso,microfitofago,galumnidae,1,94.7973562000797
83,A,1,humus,meso,microfitofago,larva_sciaridae,10,158.173742866206
84,A,1,humus,meso,microfitofago,lohmanidae,1,3.37934314380671
85,A,1,humus,meso,microfitofago,onichiuridae,5,7.3465662496095
86,A,1,humus,meso,microfitofago,oppioidea,1,7.05362139053265
87,A,1,humus,meso,microfitofago,oribatulidae,59,33.2946525016009
88,A,1,humus,meso,omnivoro,astigmata,29,24.091103658711
89,A,1,humus,meso,omnivoro,hipogastruridae,23,9.1502959721292
90,A,1,humus,meso,predador,bdelloidea,3,5.81752115431948
91,A,1,humus,meso,predador,eupodoidea,5,4.45914540664683
92,A,1,humus,meso,predador,mesostigmata,3,2.74554367492616
93,A,1,humus,meso,predador,parasitidae,22,12.6156991156841
94,A,1,humus,meso,predador,rhagidiidae,2,2.59800245653866
95,A,1,humus,meso,predador,rhodacaroidea,3,14.0632566975172
96,A,2,10,macro,detritivoro,Aporrectodea_caliginosa,2,81450
97,A,2,10,macro,detritivoro,diplopoda,13,14061.5384615385
98,A,2,10,macro,detritivoro,juvenil,5,33240
99,A,2,10,macro,detritivoro,larva_tenebrionidae,2,3000
100,A,2,10,macro,detritivoro,oniscoidea,1,13200
101,A,2,10,macro,predador,formicidae,2,325.497298647867
102,A,2,10,macro,predador,grillopalpidae,1,195600
103,A,2,10,macro,predador,lycosidae,1,2800
104,A,2,10,macro,predador,staphylinidae,2,1276.28966795438
105,A,2,10,meso,detritivoro,ceratozetoidea,3,47.6335896470612
106,A,2,10,meso,detritivoro,enquitreido,17,1763.20705729475
107,A,2,10,meso,detritivoro,isotomidae,14,5.02026685645174
108,A,2,10,meso,detritivoro,larva_diptera,1,3600
109,A,2,10,meso,detritivoro,oripodidae,11,22.4130280018892
110,A,2,10,meso,detritivoro,pupa_diptera,1,6580.29657
111,A,2,10,meso,microfitofago,entomobryoidea,1,118.720256529443
112,A,2,10,meso,microfitofago,oppioidea,1,9.18148630275309
113,A,2,10,meso,microfitofago,oribatulidae,2,37.5903895350737
114,A,2,10,meso,microfitofago,symphyla,1,2.13586017854838
115,A,2,10,meso,omnivoro,astigmata,10,33.5708732345146
116,A,2,10,meso,omnivoro,hipogastruridae,7,8.57088220897363
117,A,2,10,meso,predador,mesostigmata,1,10.9127275216957
118,A,2,10,micro,herbivoro,fitofago,85,1.06013819851284
119,A,2,10,micro,microfitofago,bacterivoro,72,1.86384012750928
120,A,2,10,micro,microfitofago,fungivoro,184,12.9521263752672
121,A,2,10,micro,omnivoro,omnivoro,59,7.19003663979239
122,A,2,10,micro,predador,predador,72,4.83920040814128
123,A,2,20,macro,detritivoro,diplopoda,1,16400
124,A,2,20,macro,predador,staphylinidae,1,2000
125,A,2,20,meso,microfitofago,entomobryoidea,1,195.614748944503
126,A,2,Frag,meso,detritivoro,enquitreido,7,1853.39478955792
127,A,2,Frag,meso,detritivoro,oripodidae,3,22.1192135970981
128,A,2,Frag,meso,detritivoro,pupa_diptera,16,1439.759278625
129,A,2,Frag,meso,detritivoro,scheloribates,1,14.7421958619386
130,A,2,Frag,meso,herbivoro,trip,2,195.033073345994
131,A,2,Frag,meso,microfitofago,galumnidae,1,76.3757742499752
132,A,2,Frag,meso,microfitofago,larva_sciaridae,3,74.8534558286682
133,A,2,Frag,meso,microfitofago,oribatulidae,4,32.0394315307484
134,A,2,Frag,meso,omnivoro,astigmata,23,89.0524995717171
135,A,2,Frag,meso,predador,bdelloidea,1,5.76009980595814
136,A,2,Frag,meso,predador,eupodoidea,1,3.84855324124881
137,A,2,Frag,meso,predador,parasitidae,1,14.9415091952914
138,A,2,Frag,meso,predador,rhagidiidae,1,17.14785168471
139,A,2,H,macro,detritivoro,diplopoda,7,17771.4285714286
140,A,2,H,macro,detritivoro,oniscoidea,2,68200
141,A,2,H,macro,detritivoro,pythidae,1,96000
142,A,2,H,macro,predador,lycosidae,1,217600
143,A,2,H,meso,detritivoro,enquitreido,2,1593.85548355834
144,A,2,H,meso,detritivoro,larva_diptera,1,8000
145,A,2,Hoja,meso,detritivoro,enquitreido,1,3425.86040831773
146,A,2,Hoja,meso,detritivoro,isotomidae,5,7.31805856518206
147,A,2,Hoja,meso,detritivoro,pupa_diptera,10,7793.5902267
148,A,2,Hoja,meso,detritivoro,scheloribates,2,17.3434667581857
149,A,2,Hoja,meso,microfitofago,symphyla,1,16.7594281708667
150,A,2,Hoja,meso,omnivoro,astigmata,3,9.01198615362562
151,A,2,Hoja,meso,omnivoro,hipogastruridae,11,6.16312985352759
152,A,2,Hoja,meso,predador,eupodoidea,1,9.52966998228877
153,A,2,humus,meso,detritivoro,enquitreido,29,1470.5788306455
154,A,2,humus,meso,detritivoro,isotomidae,66,13.2257926420365
155,A,2,humus,meso,detritivoro,oripodidae,8,15.5910532124055
156,A,2,humus,meso,detritivoro,scheloribates,2,12.2259521866618
157,A,2,humus,meso,detritivoro,symphypleona,1,40.9920258551361
158,A,2,humus,meso,herbivoro,afido,1,430.430482576265
159,A,2,humus,meso,herbivoro,trip,1,245.139127977026
160,A,2,humus,meso,microfitofago,entomobryoidea,1,40.5247008093213
161,A,2,humus,meso,microfitofago,lohmanidae,1,79.2427624886036
162,A,2,humus,meso,microfitofago,oribatulidae,7,34.1946598115084
163,A,2,humus,meso,microfitofago,symphyla,1,4.42827019703126
164,A,2,humus,meso,omnivoro,astigmata,8,31.4688945848744
165,A,2,humus,meso,omnivoro,hipogastruridae,62,17.3136207806865
166,A,2,humus,meso,predador,bdelloidea,6,2.84292979604395
167,A,2,humus,meso,predador,eupodoidea,5,2.51778548152384
168,A,2,humus,meso,predador,ologamasidae,2,64.3614830298769
169,A,2,humus,meso,predador,parasitidae,7,28.3335488295525
170,A,2,humus,meso,predador,penthalidae,2,9.94535138504156
171,A,2,humus,meso,predador,rhodacaroidea,7,2.27507346567154
172,A,2,humus,meso,predador,uropodidae,1,14.8455879249111
173,A,3,10,macro,detritivoro,diplopoda,1,3200
174,A,3,10,macro,detritivoro,juvenil,1,45600
175,A,3,10,macro,detritivoro,larva_coleoptero,1,4499.651672
176,A,3,10,macro,detritivoro,oniscoidea,2,23800
177,A,3,10,macro,predador,grillopalpidae,1,39200
178,A,3,10,macro,predador,staphylinidae,2,943.544038371719
179,A,3,10,meso,detritivoro,enquitreido,5,1323.66048424124
180,A,3,10,meso,detritivoro,isotomidae,2,2.15749908739685
181,A,3,10,meso,detritivoro,oripodidae,30,22.2000343258278
182,A,3,10,meso,detritivoro,pupa_diptera,3,826.868142666667
183,A,3,10,meso,microfitofago,entomobryoidea,1,62.9849781859312
184,A,3,10,meso,omnivoro,astigmata,7,21.0817798473439
185,A,3,10,meso,omnivoro,hipogastruridae,4,22.7199190065946
186,A,3,10,meso,predador,eupodoidea,2,2.37864325977737
187,A,3,10,micro,herbivoro,fitofago,24,2.11003847506132
188,A,3,10,micro,microfitofago,bacterivoro,155,2.84534941512294
189,A,3,10,micro,microfitofago,fungivoro,48,7.27291366805931
190,A,3,10,micro,omnivoro,omnivoro,103,30.4931014562844
191,A,3,10,micro,predador,predador,48,5.50752020463689
192,A,3,20,macro,detritivoro,oniscoidea,1,21600
193,A,3,20,macro,predador,linyphiidae,1,5600
194,A,3,20,macro,predador,nematomorpha,1,7200
195,A,3,20,macro,predador,trogossitidae,1,3600
196,A,3,Frag,macro,detritivoro,larva_coleoptero,2,3915.21493325
197,A,3,Frag,macro,predador,carabidae,2,868.886010686594
198,A,3,Frag,macro,predador,staphylinidae,1,830.865608149033
199,A,3,Frag,meso,detritivoro,enquitreido,13,1961.99986436688
200,A,3,Frag,meso,detritivoro,isotomidae,20,14.0958581765016
201,A,3,Frag,meso,detritivoro,larva_diptera,6,293.241709556587
202,A,3,Frag,meso,detritivoro,oripodidae,3,15.9395676752981
203,A,3,Frag,meso,detritivoro,pupa_diptera,2,1250.37574175
204,A,3,Frag,meso,detritivoro,scheloribates,7,27.9687101319133
205,A,3,Frag,meso,detritivoro,symphypleona,5,41.9549489930474
206,A,3,Frag,meso,herbivoro,afido,9,190.880248612448
207,A,3,Frag,meso,herbivoro,trip,3,104.573615131403
208,A,3,Frag,meso,microfitofago,entomobryoidea,3,17.2742310180225
209,A,3,Frag,meso,microfitofago,larva_sciaridae,4,1555.10769831678
210,A,3,Frag,meso,microfitofago,oppioidea,2,21.3063988377716
211,A,3,Frag,meso,microfitofago,oribatulidae,8,59.0952863861442
212,A,3,Frag,meso,omnivoro,astigmata,5,26.5201677924078
213,A,3,Frag,meso,omnivoro,hipogastruridae,110,42.4400823964073
214,A,3,Frag,meso,predador,bdelloidea,2,12.8709590198192
215,A,3,Frag,meso,predador,dermanisoidea,3,104.566257698423
216,A,3,Frag,meso,predador,eupodoidea,1,3.32160501043132
217,A,3,Frag,meso,predador,ologamasidae,3,171.776618391385
218,A,3,Frag,meso,predador,parasitidae,6,11.5740147633999
219,A,3,Frag,meso,predador,rhodacaroidea,2,17.9690446440514
220,A,3,H,macro,detritivoro,blattodea,1,306.782942011396
221,A,3,H,macro,detritivoro,diplopoda,1,8400
222,A,3,H,macro,detritivoro,oniscoidea,1,1600
223,A,3,H,macro,detritivoro,pythidae,1,298800
224,A,3,H,macro,herbivoro,cicadidae,1,545.941605029287
225,A,3,H,macro,herbivoro,hemiptera,1,1192.04272807355
226,A,3,H,macro,predador,formicidae,2,783.814276672791
227,A,3,H,macro,predador,geophylomorpha,1,2000
228,A,3,H,macro,predador,larva_carabidae,1,2400
229,A,3,H,macro,predador,linyphiidae,1,9200
230,A,3,H,macro,predador,lycosidae,3,18666.6666666667
231,A,3,H,macro,predador,staphylinidae,4,1032.92573707869
232,A,3,H,meso,herbivoro,afido,5,1002.63876749861
233,A,3,H,meso,microfitofago,entomobryoidea,1,161.768158273753
234,A,3,H,meso,predador,mesostigmata,5,132.40345610099
235,A,3,Hoja,macro,predador,formicidae,1,757.325004120951
236,A,3,Hoja,meso,detritivoro,enquitreido,2,2139.29922622864
237,A,3,Hoja,meso,detritivoro,pupa_diptera,1,4186.3646485
