ID;system;site;sample;month;year;specie;ind;biomass;length;width;season;class;order;habitat;guild;diet;P;MO;CE;Ph;DAP;HR;Ca;Mg;NA;K;N;ARA;RESP;RM_0-5;RM_5=10
1;A;casuarina;sur;noviembre;2008;oppioidea;1;0,71945246;247,3213;125,4499;P;acari;oribatida;euedaphic;microphytophages;microphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
2;A;casuarina;sur;noviembre;2008;oppioidea;2;0,654877371;278,482;102,25;P;acari;oribatida;euedaphic;microphytophages;microphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
3;A;casuarina;sur;noviembre;2008;oppioidea;3;1,203097355;302,195;143,6376;P;acari;oribatida;euedaphic;microphytophages;microphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
4;A;casuarina;sur;noviembre;2008;oppioidea;4;1,51760083;293,9379;175,0778;P;acari;oribatida;euedaphic;microphytophages;microphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
5;A;casuarina;sur;noviembre;2008;oppioidea;5;0,66169544;224,6302;132,0904;P;acari;oribatida;euedaphic;microphytophages;microphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
6;A;casuarina;sur;noviembre;2008;oppioidea;6;2,105232483;340,1672;186,791;P;acari;oribatida;euedaphic;microphytophages;microphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
7;A;casuarina;sur;noviembre;2008;oppioidea;7;0,530186712;215,2712;118,4466;P;acari;oribatida;euedaphic;microphytophages;microphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
8;A;casuarina;sur;noviembre;2008;oripodoidea;8;4,9479464;429,8595;262,3252;P;acari;oribatida;hemiedaphic;detritivore;panphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
9;A;casuarina;sur;noviembre;2008;oripodoidea;9;3,815096711;385,1785;247,3648;P;acari;oribatida;hemiedaphic;detritivore;panphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
10;A;casuarina;sur;noviembre;2008;ceratozetoidea;10;4,014801178;389,1249;268,1013;P;acari;oribatida;euedaphic;detritivore;panphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
11;A;casuarina;sur;noviembre;2008;ceratozetoidea;11;4,674014427;425,581;258,1603;P;acari;oribatida;euedaphic;detritivore;panphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
12;A;casuarina;sur;noviembre;2008;euphthiracaroidea;12;5,819721947;678,7813;193,988;P;acari;oribatida;euedaphic;detritivore;panphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
13;A;casuarina;sur;noviembre;2008;oripodoidea;13;1,206410152;238,9735;188,8328;P;acari;oribatida;hemiedaphic;detritivore;panphytophages;38,5;4,002;1,2648;5,07;1,245487131;0,145316295;6,27;1,89;0,66;1,33;0,2446;0,23;0,04;0,0001;0,0001
