"sitio" "total" "biotransformacion" "detritivoria" "microfitofagia" "predacion" "omnivoria" "replica" "loc"
"1" "Pastizal_nat" 33236.9792351057 0.988530052319838 0.0030871160537519 0.00574222066202232 0.000512593358811113 4.25083291966054e-05 1 "ChyN"
"2" "Pastizal_nat" 30141.0459810971 0.987822127748257 0.00372455162118007 0.00577371565534747 0.000472519860456412 4.94716251129819e-05 2 "ChyN"
"3" "Pastizal_nat" 46140.0244496251 0.989352920339306 0.00237498006082965 0.00580657518840747 0.000448550914362674 6.04150799144119e-05 3 "ChyN"
"4" "Mixto" 35879.228731899 0.988124384876694 0.0034793940667337 0.00591017763863713 0.00052394883783008 7.85853776450277e-05 1 "ChyN"
"5" "Mixto" 42018.7351668458 0.986479974780518 0.00345503691312054 0.00777166806237434 0.000328532177910894 0.000141775137819844 2 "ChyN"
"6" "Mixto" 34321.278293861 0.986729606663988 0.00319173435418121 0.00730801333649474 0.000620171748314442 0.000168982742433442 3 "ChyN"
"7" "Agri_Intensivo" 13947.7246470451 0.988739641974119 0.00294483195858992 0.00550120313846556 0.00101089105847342 2.82159413783202e-05 1 "ChyN"
"8" "Agri_Intensivo" 58154.7227841372 0.989806492575014 0.00260815313420236 0.00562146795139493 0.000283298555882673 0.000104813955194959 2 "ChyN"
"9" "Agri_Intensivo" 38732.7181363987 0.982762299847934 0.00516868380612373 0.00960235559413167 0.000417951515265506 0.000427586312445821 3 "ChyN"
"10" "Reserva" 2208430.70179761 0.964598511782204 0.00121094923757023 0.0282699772922665 0.000580864731861616 0.00317182018849045 1 "Luj"
"11" "Reserva" 2219114.5131909 0.965889987490176 0.00121541172604744 0.0278533745049978 0.000362252928599881 0.00266168300620892 2 "Luj"
"12" "Reserva" 2041456.07610912 0.962121077139192 0.00346780882786447 0.0273416142885307 0.000857532303185063 0.00376417656322118 3 "Luj"
"13" "Pastizal" 1859590.96694945 0.960351441800451 0.00126064210836605 0.0300617700542906 0.00382949425547842 0.00223758603340478 1 "Luj"
"14" "Pastizal" 2222128.94071677 0.962993670321784 0.00118406007033841 0.0301337958873916 0.000876753392426322 0.00297034960463529 2 "Luj"
"15" "Pastizal" 1715983.64573273 0.968585336741826 0.00124756609592817 0.0258413412771024 0.000566716060124884 0.00178529743779924 3 "Luj"
"16" "Agrícola" 987069.256432758 0.9614806850201 0.00129535532753609 0.0294383046796966 0.0018971677736722 0.00311022882162789 1 "Luj"
"17" "Agrícola" 1042889.14249229 0.965368419621528 0.0012548326219659 0.0258057974632836 0.00113435732254814 0.00357044969661267 2 "Luj"
"18" "Agrícola" 1381220.37598776 0.963212589969004 0.00188924756899768 0.029283483830162 0.00176425631550425 0.00190815387661639 3 "Luj"
