Sitio	MUESTRA	CE (Ms)	PH	MATERIA ORGÁNICA	CARBONO	FÓSFORO	NITRÓGENO	TOC	D_TOC_C	C_toc
10P1	1			3.95	2.29	5.23	3.856	3.148	0.858	3.291
10P1	2			3.14	1.82	6.44	2.475	2.613	0.793	2.756
10P1	3			1.67	0.97	6.28	3.158	2.818	1.848	2.961
10P2	4			3.65	2.11	8.66	2.621	3.104	0.994	3.247
10P2	5			3.22	1.87	8.09	2.881	3.497	1.627	3.64
10P2	6			3.74	2.17	8.03	2.612	2.885	0.715	3.028
10P3	7			3.33	1.93	6.72	2.619	3.343	1.413	3.486
10P3	8			3.09	1.79	4.97	2.471	3.015	1.225	3.158
10P3	9			2.04	1.18	3.53	2.203	2.946	1.766	3.089
10R1	10			4.39	2.55	9.99	3.013	2.325	-0.225	2.468
10R1	11			3.03	1.75	9.08	3.158	2.532	0.782	2.675
10R1	12			3.3	1.91	8.61	2.882	3.016	1.106	3.159
10R2	13			3.99	2.31	5.91	2.602	3.003	0.693	3.146
10R2	14			3.07	1.78	7.57	3.435	3.191	1.411	3.334
10R2	15			2.73	1.58	5.24	2.738	3.184	1.604	3.327
10R3	16			4.38	2.54	8.29	2.891	3.659	1.119	3.802
10R3	17			3.45	2	9.31	3.296	4.466	2.466	4.609
10R3	18			3.3	1.91	9.41	3.033	3.677	1.767	3.82
10A1	19			3.04	1.76	41.45	3.173	2.893	1.133	3.036
10A1	20			2.96	1.72	35.9	2.49	2.998	1.278	3.141
10A1	21			2.03	1.18	35.02	2.621	3.031	1.851	3.174
10A2	22			2.05	1.19	40.13	2.746	3.301	2.111	3.444
10A2	23			3.33	1.93	36.12	3.435	2.947	1.017	3.09
10A2	24			2.05	1.19	45.76	3.152	2.79	1.6	2.933
10A3	25			3.42	1.98	61.16	3.727	2.741	0.761	2.741
10A3	26			3	1.74	64.19	3.019	3.127	1.387	3.127
10A3	27			2.69	1.56	68.78	3.58	2.821	1.261	2.821
20P1	28	46.3	6.11	2.75	1.59	2.09	2.344	2.126	0.536	2.126
20P1	29	36.2	6.26	1.96	1.13	2.01	3.165	2.618	1.488	2.618
20P1	30	33.9	6.24	1.97	1.14	2.68	3.288	2.265	1.125	2.265
20P2	31	57.1	6.18	2.39	1.39	2.46	2.343	2.841	1.451	2.841
20P2	32	47.1	6.24	2.33	1.35	2.35	2.343	2.831	1.481	2.831
20P2	33	50.5	5.98	2.22	1.29	2.57	2.332	2.343	1.053	2.343
20P3	34	63.3	6.76	1.67	0.97	2.79	2.337	2.505	1.535	2.505
20P3	35	30.9	6.78	1.73	1	1.68	2.206	2.287	1.287	2.287
20P3	36	42.7	6.8	1.99	1.15	1.91	2.06	2.542	1.392	2.542
20R1	46	30.2	6.17	3.01	1.74	1.14	1.513	1.79	0.05	1.79
20R1	47	35.8	6.09	1.01	0.58	1.25	1.629	1.671	1.091	1.671
20R1	48	22.5	6.46	1.36	0.79	0.78	1.65	1.867	1.077	1.867
20R2	49	14.8	6.71	1.37	0.8	1.37	1.922	1.86	1.06	2.012
20R2	50	15.3	6.39	0.68	0.39	1.25	1.919	1.912	1.522	2.064
20R2	51	14.7	6.72	1.32	0.76	1.02	1.923	2.666	1.906	2.818
20R3	52	22	13.2	1.66	0.96	1.61	1.781	2.606	1.646	2.758
20R3	53	13.2	6.43	1.58	0.91	1.02	1.925	2.507	1.597	2.659
20R3	54	17.2	6.11	2.65	1.53	1.49	2.07	2.463	0.933	2.615
20A1	37	32.2	6.27	2.06	1.19	11.02	2.199	2.749	1.559	2.749
20A1	38	18.8	6.26	2.07	1.2	9.12	2.612	2.91	1.71	2.91
20A1	39	17.9	6.34	1.92	1.11	8.79	2.749	2.497	1.387	2.497
20A2	40	20.4	6.27	0.64	0.37	8.89	2.198	2.325	1.955	2.325
20A2	41	28.8	6.32	1.7	0.98	7.68	2.756	2.531	1.551	2.531
20A2	42	45.4	5.92	2.9	1.68	6.46	2.489	2.234	0.554	2.234
20A3	43	34.5	6.22	2.35	1.36	27.68	2.741	2.732	1.372	2.732
20A3	44	30.1	6.17	2.68	1.55	25.73	2.332	2.674	1.124	2.674
20A3	45	33	6.26	1.85	1.07	28.08	2.447	2.349	1.279	2.349
