sitio	replica	estrato	class	c_num	taxon	abundance
L	1	10	macrofauna	10L1	Geophilomorpha	1
L	1	10	macrofauna	10L1	Entomobriidae	2
L	1	10	macrofauna	10L1	Cryptophagidae	1
L	1	10	macrofauna	10L1	Enchytraeidae	6
L	1	10	macrofauna	10L1	Formicidae	2
L	1	10	macrofauna	10L1	Isopoda	1
L	1	10	macrofauna	10L1	Ortoptero	1
L	1	10	macrofauna	10L1	larva_Scarabidae	1
L	1	10	macrofauna	10L1	larva_Tenebrionidae	1
L	1	10	macrofauna	10L1	Lycosidae	4
L	1	10	macrofauna	10L1	Mesostigmata	1
L	1	10	macrofauna	10L1	Diplopoda	20
L	1	10	macrofauna	10L1	Cicadidae	1
L	1	10	macrofauna	10L1	Staphylinidae	9
L	1	10	macrofauna	10L1	Tenebrionidae	1
L	1	10	oligochaeta	10L1	Aporrectodea caliginosa	1
L	1	10	oligochaeta	10L1	Aporrectodea trapezoides	1
L	1	10	oligochaeta	10L1	Aporrectodea rosea	1
L	1	10	oligochaeta	10L1	Octalasion cyaneum	1
L	1	20	macrofauna	20L1	larva_Elateridae	2
L	1	20	macrofauna	20L1	Diplopoda	1
L	1	H	macrofauna	HL1	Carabidae	1
L	1	H	macrofauna	HL1	Entomobriidae	1
L	1	H	macrofauna	HL1	Cunaxide	1
L	1	H	macrofauna	HL1	Enchytraeidae	2
L	1	H	macrofauna	HL1	Isopoda	2
L	1	H	macrofauna	HL1	larva_Carabidae	1
L	1	H	macrofauna	HL1	Lycosidae	5
L	1	H	macrofauna	HL1	Mesostigmata	4
L	1	H	macrofauna	HL1	Diplopoda	5
L	1	H	macrofauna	HL1	Staphylinidae	3
L	1	H	macrofauna	HL1	Cicadidae	1
L	2	10	macrofauna	10L2	Entomobriidae	1
L	2	10	macrofauna	10L2	Formicidae	1
L	2	10	macrofauna	10L2	Grillopalpidae	1
L	2	10	macrofauna	10L2	Isopoda	1
L	2	10	macrofauna	10L2	larva_Sciaridae	1
L	2	10	macrofauna	10L2	larva_Tenebrionidae	2
L	2	10	macrofauna	10L2	Lycosidae	1
L	2	10	macrofauna	10L2	Mesostigmata	1
L	2	10	macrofauna	10L2	Diplopoda	13
L	2	10	macrofauna	10L2	Staphylinidae	2
L	2	10	oligochaeta	10L2	Aporrectodea caliginosa	2
L	2	10	oligochaeta	10L2	Juvenil	5
L	2	20	macrofauna	20L2	Entomobriidae	1
L	2	20	macrofauna	20L2	Diplopoda	1
L	2	20	macrofauna	20L2	Staphylinidae	1
L	2	H	macrofauna	HL2	Enchytraeidae	1
L	2	H	macrofauna	HL2	Enchytraeidae	1
L	2	H	macrofauna	HL2	Isopoda	2
L	2	H	macrofauna	HL2	larva_Sciaridae	1
L	2	H	macrofauna	HL2	Lycosidae	1
L	2	H	macrofauna	HL2	Diplopoda	7
L	2	H	macrofauna	HL2	Pythidae	1
L	3	10	macrofauna	10L3	Enchytraeidae	1
L	3	10	macrofauna	10L3	Grillopalpidae	1
L	3	10	macrofauna	10L3	Isopoda	2
L	3	10	macrofauna	10L3	Diplopoda	1
L	3	10	macrofauna	10L3	Staphylinidae	1
L	3	10	oligochaeta	10L3	Juvenil	1
L	3	20	macrofauna	20L3	Isopoda	1
L	3	20	macrofauna	20L3	Linyphiidae	1
L	3	20	macrofauna	20L3	Nematomorpha	3
L	3	20	macrofauna	20L3	Trogossitidae	1
L	3	H	macrofauna	HL3	Aphidoidea	5
L	3	H	macrofauna	HL3	Blattodea	1
L	3	H	macrofauna	HL3	Geophilomorpha	1
L	3	H	macrofauna	HL3	Entomobriidae	1
L	3	H	macrofauna	HL3	Formicidae	1
L	3	H	macrofauna	HL3	Heteroptera	1
L	3	H	macrofauna	HL3	Himenoptero	1
L	3	H	macrofauna	HL3	Isopoda	1
L	3	H	macrofauna	HL3	larva_Carabidae	1
L	3	H	macrofauna	HL3	Lycosidae	3
L	3	H	macrofauna	HL3	Linyphiidae	1
L	3	H	macrofauna	HL3	Mesostigmata	5
L	3	H	macrofauna	HL3	Diplopoda	1
L	3	H	macrofauna	HL3	Cicadidae	1
L	3	H	macrofauna	HL3	Pythidae	1
L	3	H	macrofauna	HL3	Staphylinidae	4
P	1	10	macrofauna	10P1	Blattodea	2
P	1	10	macrofauna	10P1	Carabidae	6
P	1	10	macrofauna	10P1	Geophilomorpha	1
P	1	10	macrofauna	10P1	Geophilomorpha	1
P	1	10	macrofauna	10P1	Coccinelidae	1
P	1	10	macrofauna	10P1	Formicidae	3
P	1	10	macrofauna	10P1	Isopoda	13
P	1	10	macrofauna	10P1	larva_Scarabidae	1
P	1	10	macrofauna	10P1	Diplopoda	2
P	1	10	macrofauna	10P1	Staphylinidae	5
P	1	10	macrofauna	10P1	Tenebrionidae	1
P	1	10	oligochaeta	10P1	Aporrectodea trapezoides	1
P	1	10	oligochaeta	10P1	Juvenil	11
P	1	20	macrofauna	20P1	Blattodea	1
P	1	20	macrofauna	20P1	Carabidae	1
P	1	20	macrofauna	20P1	Formicidae	2
P	1	20	macrofauna	20P1	Hemiptera	1
P	1	20	macrofauna	20P1	Isopoda	3
P	1	20	macrofauna	20P1	Lycosidae	1
P	1	20	macrofauna	20P1	Diplopoda	1
P	1	20	macrofauna	20P1	Ptiliidae	2
P	1	20	macrofauna	20P1	Ptiliidae	1
P	1	20	macrofauna	20P1	Staphylinidae	1
P	1	H	macrofauna	HP1	Carabidae	2
P	1	H	macrofauna	HP1	Formicidae	1
P	1	H	macrofauna	HP1	Isopoda	43
P	1	H	macrofauna	HP1	larva_Scarabidae	1
P	1	H	macrofauna	HP1	Linyphiidae	2
P	1	H	oligochaeta	HP1	Juvenil	1
P	1	H	macrofauna	HP1	Diplopoda	2
P	1	H	macrofauna	HP1	Staphylinidae	8
P	1	H	macrofauna	HP1	Symphyla	1
P	1	H	macrofauna	HP1	Tenebrionidae	1
P	1	H	macrofauna	HP1	Trogossitidae	1
P	1	H	oligochaeta	HP1	Aporrectodea rosea	1
P	2	10	macrofauna	10P2	Carabidae	4
P	2	10	macrofauna	10P2	Formicidae	1
P	2	10	macrofauna	10P2	Isopoda	31
P	2	10	macrofauna	10P2	larva_Scarabidae	4
P	2	10	macrofauna	10P2	Staphylinidae	3
P	2	10	macrofauna	10P2	Symphyla	1
P	2	10	macrofauna	10P2	Terebrantia	1
P	2	10	oligochaeta	10P2	Aporrectodea trapezoides	1
P	2	10	oligochaeta	10P2	Eukerria halophila	1
P	2	10	oligochaeta	10P2	Glossoscolex sp.	1
P	2	10	oligochaeta	10P2	Juvenil	15
P	2	10	oligochaeta	10P2	Microscolex phosphoreus	1
P	2	20	macrofauna	20P2	Anthribidae	4
P	2	20	macrofauna	20P2	Entomobriidae	1
P	2	20	macrofauna	20P2	Isopoda	1
P	2	20	macrofauna	20P2	larva_Scarabidae	1
P	2	20	oligochaeta	20P2	Eukerria halophila	1
P	2	20	oligochaeta	20P2	Juvenil	4
P	2	20	oligochaeta	20P2	Microscolex phosphoreus	2
P	2	H	macrofauna	HP2	Isopoda	11
P	2	H	macrofauna	HP2	Linyphiidae	1
P	2	H	oligochaeta	HP2	Juvenil	1
P	2	H	macrofauna	HP2	Staphylinidae	6
P	2	H	macrofauna	HP2	larva_Staphylinidae	1
P	2	H	macrofauna	HP2	Tenebrionidae	1
P	3	10	macrofauna	10P3	Carabidae	1
P	3	10	macrofauna	10P3	Isopoda	2
P	3	10	macrofauna	10P3	Linyphiidae	4
P	3	10	macrofauna	10P3	larva_Scarabidae	1
P	3	10	macrofauna	10P3	Staphylinidae	1
P	3	10	oligochaeta	10P3	Juvenil	2
P	3	10	oligochaeta	10P3	Octolasion tyrtaeum	1
P	3	20	macrofauna	20P3	Lycosidae	1
P	3	20	macrofauna	20P3	Blattodea	1
P	3	20	macrofauna	20P3	Entomobriidae	1
P	3	20	macrofauna	20P3	Formicidae	1
P	3	20	macrofauna	20P3	Isopoda	1
P	3	20	macrofauna	20P3	larva_Scarabidae	1
P	3	H	macrofauna	HP3	Isopoda	2
P	3	H	macrofauna	HP3	Trogossitidae	1
P	3	H	macrofauna	HP3	isopoda	1
R	1	10	macrofauna	10R1	Elateriforme	1
R	1	10	macrofauna	10R1	Enchytraeidae	13
R	1	10	macrofauna	10R1	Formicidae	35
R	1	10	macrofauna	10R1	Formicidae	1
R	1	10	macrofauna	10R1	Isopoda	8
R	1	10	macrofauna	10R1	larva_Sciaridae	1
R	1	10	macrofauna	10R1	larva_Carabidae	1
R	1	10	macrofauna	10R1	Diplopoda	1
R	1	10	macrofauna	10R1	Trogossitidae	1
R	1	10	oligochaeta	10R1	Aporrectodea caliginosa	1
R	1	10	oligochaeta	10R1	Aporrectodea trapezoides	2
