sitio	replica	estrato	taxon	conteo
R	1	10	onychiurudae	12
R	1	10	enquitreido	11
R	1	10	tarditigrado	7
R	1	10	oripodoidea	4
R	1	10	oppioidea	4
R	1	10	galumnidae	4
R	1	10	uropodoidea	1
R	1	10	parasitidae	1
R	1	10	oribatulidae	1
R	1	10	japygidae_diplura	1
R	1	10	formicidae	1
R	1	10	astigmata	1
P	1	10	enquitreido	11
P	1	10	oripodoidea	8
P	1	10	tarditigrado	4
P	1	10	veigaioidea	3
P	1	10	isotomidae	2
P	1	10	symphyla	1
P	1	10	staphyliniidae	1
P	1	10	parasitidae	1
P	1	10	onychiurudae	1
P	1	10	larva_sciaridae	1
P	1	10	larva_diptero	1
P	1	10	hipogastruridae	1
P	1	10	epilohmania	1
P	1	10	ceratozetoidea	1
P	1	10	bdellidae	1
P	1	10	astigmata	1
P	1	10	aphidoidea	1
L	1	10	enquitreido	68
L	1	10	onychiurudae	40
L	1	10	oripodoidea	14
L	1	10	hipogastruridae	10
L	1	10	oppioidea	7
L	1	10	astigmata	7
L	1	10	larva_diptero	5
L	1	10	oribatulidae	2
L	1	10	symphyla	1
L	1	10	staphyliniidae	1
L	1	10	rhodacarioidea	1
L	1	10	parasitidae	1
L	1	10	lycosidae	1
L	1	10	galumnidae	1
L	1	10	formicidae	1
L	1	10	eupodoidea	1
R	2	10	onychiurudae	16
R	2	10	enquitreido	14
R	2	10	tarditigrado	7
R	2	10	paragapygidae_diplura	1
R	2	10	lycosidae	1
R	2	10	gasteropoda	1
R	2	10	ceratozetoidea	1
P	2	10	oripodoidea	17
P	2	10	isotomidae	15
P	2	10	oribatulidae	7
P	2	10	tarditigrado	3
P	2	10	onychiurudae	3
P	2	10	astigmata	3
P	2	10	veigaioidea	2
P	2	10	rhodacarioidea	2
P	2	10	oppioidea	2
P	2	10	rhagidiidae	1
P	2	10	ptilidae	1
P	2	10	microgyniidae	1
P	2	10	larva_coleoptero	1
P	2	10	formicidae	1
L	2	10	enquitreido	27
L	2	10	astigmata	15
L	2	10	isotomidae	13
L	2	10	oripodoidea	12
L	2	10	onychiurudae	12
L	2	10	hipogastruridae	8
L	2	10	ceratozetoidea	5
L	2	10	oppioidea	4
L	2	10	larva_diptero	2
L	2	10	formicidae	2
L	2	10	symphyla	1
L	2	10	eupodoidea	1
R	3	10	onychiurudae	25
R	3	10	enquitreido	11
R	3	10	oripodoidea	9
R	3	10	galumnidae	6
R	3	10	epilohmania	6
R	3	10	oppioidea	4
R	3	10	camisiidae	4
R	3	10	astigmata	4
R	3	10	gasteropoda	3
R	3	10	larva_diptero	2
R	3	10	euphthiracaridae	2
R	3	10	entomobridae	2
R	3	10	rhodacarioidea	1
R	3	10	oribatulidae	1
R	3	10	nanhermaniidae	1
P	3	10	tarditigrado	29
P	3	10	astigmata	9
P	3	10	rhodacarioidea	6
P	3	10	oripodoidea	5
P	3	10	formicidae	5
P	3	10	parasitidae	4
P	3	10	hipogastruridae	4
P	3	10	oribatulidae	2
P	3	10	oppioidea	2
P	3	10	isotomidae	2
P	3	10	eviphididae	2
P	3	10	poliphaga	1
P	3	10	oniscidea	1
P	3	10	enquitreido	1
P	3	10	embrioptera	1
P	3	10	ceratozetoidea	1
P	3	10	camisiidae	1
L	3	10	oripodidae	15
L	3	10	epilohmania	12
L	3	10	enquitreido	12
L	3	10	hipogastruridae	11
L	3	10	astigmata	10
L	3	10	oppioidea	9
L	3	10	ceratozetoidea	8
L	3	10	onychiurudae	4
L	3	10	staphyliniidae	2
L	3	10	paratydeidae	2
L	3	10	oribatulidae	2
L	3	10	larva_diptero	2
L	3	10	larva_carabido	1
L	3	10	entomobridae	1
L	3	10	bdellidae	1
R	1	fragmentado	enquitreido	9
R	1	fragmentado	chamobatidae	8
R	1	fragmentado	gasteropoda	6
R	1	fragmentado	lymnozetidae	6
R	1	fragmentado	galumnidae	5
R	1	fragmentado	onychiurudae	4
R	1	fragmentado	ologamasidae	4
R	1	fragmentado	microgyniidae	4
R	1	fragmentado	parasitidae	3
R	1	fragmentado	larva_diptero	3
R	1	fragmentado	veigaioidea	2
R	1	fragmentado	symphypleona	2
R	1	fragmentado	oripodidae	2
R	1	fragmentado	euphthiracaridae	2
R	1	fragmentado	entomobridae	2
R	1	fragmentado	bdellidae	2
R	1	fragmentado	suctobelbidae	1
R	1	fragmentado	scheloribatidae	1
R	1	fragmentado	otocepheidae	1
R	1	fragmentado	oribatulidae	1
R	1	fragmentado	larva_sciaridae	1
R	1	fragmentado	laelapidae	1
