".tail",".head"
"bacterias","carrion"
"hongos","carrion"
"formicidae","carrion"
"galumnioidea","carrion"
"gasteropoda","carrion"
"gryllotalpidae","carrion"
"hypogastruridae","carrion"
"pauropoda","carrion"
"ptiliidae","carrion"
"bacterias","tej_veg"
"hongos","tej_veg"
"nem_fit","tej_veg"
"crotonioidea","tej_veg"
"ecidomyiidae","tej_veg"
"euphthiracaroidea","tej_veg"
"formicidae","tej_veg"
"gasteropoda","tej_veg"
"gryllidae","tej_veg"
"gryllotalpidae","tej_veg"
"isoptera","tej_veg"
"oribatido","tej_veg"
"oripodoidea","tej_veg"
"scarabaeidae","tej_veg"
"symphila","tej_veg"
"symphypleona","tej_veg"
"bacterias","hummus"
"hongos","hummus"
"microfauna","hummus"
"enquitreido","hummus"
"Apo_cal","hummus"
"Apo_ros","hummus"
"Apo_tra","hummus"
"ceratozetoidea","hummus"
"crotonioidea","hummus"
"epilohmannioidea","hummus"
"euker","hummus"
"euphthiracaroidea","hummus"
"gasteropoda","hummus"
"isopodos","hummus"
"isoptera","hummus"
"isotomidae","hummus"
"lom_juv","hummus"
"Mic_dub","hummus"
"Mic_pho","hummus"
"miriapodo","hummus"
"octacy","hummus"
"octala","hummus"
"onychiuridae","hummus"
"oribatido","hummus"
"oripodoidea","hummus"
"psocoptera","hummus"
"ptiliidae","hummus"
"symphila","hummus"
"symphypleona","hummus"
"microfauna","bacterias"
"enquitreido","bacterias"
"nem_om","bacterias"
"nem_bac","bacterias"
"acaroidea","bacterias"
"Apo_cal","bacterias"
"Apo_ros","bacterias"
"Apo_tra","bacterias"
"ceratozetoidea","bacterias"
"crotonioidea","bacterias"
"entomobroidea","bacterias"
"euker","bacterias"
"eupodoidea","bacterias"
"galumnioidea","bacterias"
"gasteropoda","bacterias"
"gryllotalpidae","bacterias"
"hypogastruridae","bacterias"
"isopodos","bacterias"
"isoptera","bacterias"
"isotomidae","bacterias"
"lom_juv","bacterias"
"Mic_dub","bacterias"
"Mic_pho","bacterias"
"miriapodo","bacterias"
"octacy","bacterias"
"octala","bacterias"
"onychiuridae","bacterias"
"oppioidea","bacterias"
"oribatido","bacterias"
"oripodoidea","bacterias"
"pauropoda","bacterias"
"ptiliidae","bacterias"
"symphila","bacterias"
"symphypleona","bacterias"
"tydeoidea","bacterias"
"enquitreido","hongos"
"nem_om","hongos"
"nem_fun","hongos"
"acaroidea","hongos"
"Apo_cal","hongos"
"Apo_ros","hongos"
"Apo_tra","hongos"
"ceratozetoidea","hongos"
"crotonioidea","hongos"
"entomobroidea","hongos"
"euker","hongos"
"euphthiracaroidea","hongos"
"eupodoidea","hongos"
"formicidae","hongos"
"galumnioidea","hongos"
"gasteropoda","hongos"
"gryllotalpidae","hongos"
"hypogastruridae","hongos"
"isopodos","hongos"
"isoptera","hongos"
"isotomidae","hongos"
"lom_juv","hongos"
"Mic_dub","hongos"
"Mic_pho","hongos"
"miriapodo","hongos"
"octacy","hongos"
"octala","hongos"
"onychiuridae","hongos"
"oppioidea","hongos"
"oribatido","hongos"
"oripodoidea","hongos"
"pauropoda","hongos"
"psocoptera","hongos"
"ptiliidae","hongos"
"symphila","hongos"
"symphypleona","hongos"
"tydeoidea","hongos"
"enquitreido","microfauna"
"nem_pre","microfauna"
"nem_om","microfauna"
"Apo_cal","microfauna"
"Apo_ros","microfauna"
"Apo_tra","microfauna"
"euker","microfauna"
"hypogastruridae","microfauna"
"isopodos","microfauna"
"isoptera","microfauna"
"lom_juv","microfauna"
"mesostigmata","microfauna"
"Mic_dub","microfauna"
"Mic_pho","microfauna"
"miriapodo","microfauna"
"octacy","microfauna"
"octala","microfauna"
"pauropoda","microfauna"
"ptiliidae","microfauna"
"symphila","microfauna"
"tydeoidea","microfauna"
"uropodoidea","microfauna"
"bdelloidea","enquitreido"
"chylopoda","enquitreido"
"dermanyssoidea","enquitreido"
"parasitoidea","enquitreido"
"rhodacaroidea","enquitreido"
"staphylinidae","enquitreido"
"trombidioidea","enquitreido"
"nem_om","nem_pre"
"dermanyssoidea","nem_pre"
"eupodoidea","nem_pre"
"gryllotalpidae","nem_pre"
"hypogastruridae","nem_pre"
"mesostigmata","nem_pre"
"parasitoidea","nem_pre"
"rhodacaroidea","nem_pre"
"staphylinidae","nem_pre"
"tydeoidea","nem_pre"
"uropodoidea","nem_pre"
"veigaioidea","nem_pre"
"nem_pre","nem_om"
"dermanyssoidea","nem_om"
"eupodoidea","nem_om"
"gryllotalpidae","nem_om"
"hypogastruridae","nem_om"
"mesostigmata","nem_om"
"parasitoidea","nem_om"
"rhodacaroidea","nem_om"
"staphylinidae","nem_om"
"tydeoidea","nem_om"
"uropodoidea","nem_om"
"veigaioidea","nem_om"
"nem_pre","nem_fit"
"nem_om","nem_fit"
"dermanyssoidea","nem_fit"
"eupodoidea","nem_fit"
"galumnioidea","nem_fit"
"gryllotalpidae","nem_fit"
"hypogastruridae","nem_fit"
"mesostigmata","nem_fit"
"parasitoidea","nem_fit"
"rhodacaroidea","nem_fit"
"staphylinidae","nem_fit"
"tydeoidea","nem_fit"
"uropodoidea","nem_fit"
"veigaioidea","nem_fit"
"nem_pre","nem_bac"
"nem_om","nem_bac"
"acaroidea","nem_bac"
