"system" "specie" "body" "d" "biomass" "ef"
"1" "N" "Aporrectodea caliginosa" 21628.2428509341 53.3333333333333 1153506.28538315 0.4
"2" "N" "Aporrectodea rosea" 10433.2727275489 48 500797.090922347 0.4
"3" "N" "Aporrectodea trapezoides" 64909.8899746978 16 1038558.23959516 0.4
"4" "N" "Microscolex dubius" 16877.8143643585 32 540090.059659472 0.4
"5" "N" "Microscolex phosphoreus" 4508.66003674647 32 144277.121175887 0.4
"6" "N" "Octalasion cyaneum" 373904.344001765 16 5982469.50402824 0.4
"7" "N" "Octalasion lacteum" 86228.4353739293 32 2759309.93196574 0.4
"8" "N" "bac" 0.00095 921826457.23555 875735.134373773 0.35
"9" "N" "brachychthonioidea" 1.115347414 509.295817894065 568.04177344916 0.4
"10" "N" "ceratozetoidea" 0.59461245 1018.59163578813 605.667268105488 0.4
"11" "N" "crotonioidea" 1.089232803 1018.59163578813 1109.48342256186 0.4
"12" "N" "dermanisoidea" 2.395818894 1018.59163578813 1721.56564124249 0.7
"13" "N" "epilhomanioidea" 1.548517176 1527.8874536822 2365.95996502178 0.4
"14" "N" "eupodoidea" 0.21148618375 6111.54981472878 1292.50834711501 0.25
"15" "N" "fungi" 0.23 11422632.187484 2627205.40312132 0.35
"16" "N" "hipogastruridae" 1.4932668345 1018.59163578813 1521.02910762152 0.25
"17" "N" "hummus" 1e+06 1192.59146935669 1192591469.35669 1
"18" "N" "isotomidae" 1.19890659752273 6111.54981472878 6598.07098323657 0.4
"19" "N" "juvenil" 1830.74287353849 184 335187.854418679 0.4
"20" "N" "nem_bacterivoro" 1.854 25191.9492088824 46705.8738332679 0.4
"21" "N" "nem_fitofago" 1.02 21368.7004465931 21796.074455525 0.4
"22" "N" "nem_fungivoro" 5.184 12012.8276320133 62274.4984443572 0.4
"23" "N" "nem_omnivor" 16.89 737.41265179819 12454.8996888714 0.25
"24" "N" "nem_predador" 4.58 2719.41041241734 12454.8996888714 0.7
"25" "N" "onichiuridae" 0.532284401677778 3055.77490736439 1611.69216285282 0.4
"26" "N" "oppioidea" 1.30671148755556 1188.35690841949 1384.83026998914 0.4
"27" "N" "oripodidae" 5.94873031415657 5262.72345157201 30092.1509392936 0.4
"28" "N" "proto" 0.0011121 209989541.557719 233529.369166339 0.25
"29" "N" "rhodacarioidea" 1.5807909358 2546.47908947033 4025.45106283893 0.7
"30" "N" "tydeioidea" 0.460709816 509.295817894065 234.637582551544 0.25
"31" "N" "uropodoidea" 5.36698969 1018.59163578813 5466.77080759513 0.7
"32" "N" "veigaioidea" 15.98173034 509.295817894065 8139.42842487269 0.7
