"system" "site" "year" "month" "sample" "season" "class" "order" "specie" "guild" "habitat" "abundance" "bio.ind" "Tbiomass"
"1" "A" "casuarina" 2008 "agosto" "centro" "I" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 2546.47908947033 0.6383200422 1625.46863985212
"2" "A" "casuarina" 2008 "agosto" "centro" "I" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 509.295817894065 6.583059209 3352.72452409271
"3" "A" "casuarina" 2008 "agosto" "centro" "I" "collembolla" "entomobryomorpha" "isotomidae" "detritivore" "hemiedaphic" 509.295817894065 0.524745148 267.250509336602
"4" "A" "casuarina" 2008 "agosto" "este" "I" "acari" "oribatida" "epilohmannioidea" "detritivore" "hemiedaphic" 509.295817894065 7.080155523 3605.89359790347
"5" "A" "casuarina" 2008 "agosto" "este" "I" "acari" "oribatida" "euphthiracaroidea" "detritivore" "euedaphic" 2037.18327157626 7.71381446125 15714.4537805015
"6" "A" "casuarina" 2008 "agosto" "este" "I" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 509.295817894065 1.209570519 616.029206774654
"7" "A" "casuarina" 2008 "agosto" "este" "I" "acari" "oribatida" "oripodoidea" "detritivore" "hemiedaphic" 509.295817894065 2.818788947 1435.59742223312
"8" "A" "casuarina" 2008 "agosto" "este" "I" "collembolla" "entomobryomorpha" "isotomidae" "detritivore" "hemiedaphic" 509.295817894065 0.351867514 179.204653332981
"9" "A" "casuarina" 2008 "agosto" "este" "I" "collembolla" "poduromorpha" "onychiuridae" "microphytophages" "euedaphic" 1018.59163578813 1.304123139 1328.36892142316
"10" "A" "casuarina" 2008 "noviembre" "norte" "P" "acari" "mesostigmata" "parasitoidea" "predator" "epiedaphic" 509.295817894065 4.774711719 2431.74071013648
"11" "A" "casuarina" 2008 "noviembre" "norte" "P" "acari" "oribatida" "ceratozetoidea" "detritivore" "euedaphic" 1018.59163578813 5.322277888 5421.22774005691
"12" "A" "casuarina" 2008 "noviembre" "norte" "P" "acari" "oribatida" "crotonioidea" "microphytophages" "hemiedaphic" 509.295817894065 1.99370276 1015.38447779185
"13" "A" "casuarina" 2008 "noviembre" "norte" "P" "acari" "oribatida" "oppioidea" "microphytophages" "euedaphic" 1527.8874536822 0.626933653 957.884062709847
