"sitio" "replica" "estrato" "microhabitat" "clase" "gremio" "taxa" "abundance" "bio.ind" "ab" "D" "Sistema" "Taxón" "Tbiomass" "Gremio" "Sitio"
"1" "A" 1 "10" "10" "macro" "detritivoro" "Aporrectodea_caliginosa" 1 84900 1 16 "Agrícola" "Aporrectodea caliginosa" 1358400 "Detritívoros" "A"
"2" "A" 1 "10" "10" "macro" "detritivoro" "Aporrectodea_rosea" 1 48000 1 16 "Agrícola" "Aporrectodea rosea" 768000 "Detritívoros" "A"
"3" "A" 1 "10" "10" "macro" "detritivoro" "Aporrectodea_trapezoides" 1 118800 1 16 "Agrícola" "Aporrectodea trapezoides" 1900800 "Detritívoros" "A"
"4" "A" 1 "10" "10" "macro" "detritivoro" "Octalasion_cyaneum" 1 58200 1 16 "Agrícola" "Octolasion cyaneum" 931200 "Detritívoros" "A"
"5" "A" 1 "10" "10" "macro" "detritivoro" "diplopoda" 20 14580 24 384 "Agrícola" "Diplopoda" 5598720 "Detritívoros" "A"
"6" "A" 1 "10" "10" "macro" "detritivoro" "larva_diptera" 1 1478.71826115117 1 16 "Agrícola" "Diptera larva" 23659.4921784187 "Detritívoros" "A"
"7" "A" 1 "10" "10" "macro" "detritivoro" "larva_scarabaeidae" 1 488400 1 16 "Agrícola" "Scarabaeidae larva" 7814400 "Detritívoros" "A"
"8" "A" 1 "10" "10" "macro" "detritivoro" "larva_tenebrionidae" 1 5200 1 16 "Agrícola" "Tenebrionidae larva" 83200 "Detritívoros" "A"
"9" "A" 1 "10" "10" "macro" "detritivoro" "oniscoidea" 1 2800 1 16 "Agrícola" "Oniscoidea" 44800 "Detritívoros" "A"
"10" "A" 1 "10" "10" "macro" "detritivoro" "pupa_diptera" 2 1556.1615335 2 32 "Agrícola" "Diptera pupa" 49797.169072 "Detritívoros" "A"
"11" "A" 1 "10" "10" "macro" "detritivoro" "tenebrionidae" 1 21600 1 16 "Agrícola" "Tenebrionidae" 345600 "Detritívoros" "A"
"12" "A" 1 "10" "10" "macro" "herbivoro" "cicadidae" 1 593.944544209316 1 16 "Agrícola" "Cicadidae" 9503.11270734906 "Herbivoros" "A"
"13" "A" 1 "10" "10" "macro" "herbivoro" "ortoptero" 1 16800 1 16 "Agrícola" "Ortoptera" 268800 "Herbivoros" "A"
"14" "A" 1 "10" "10" "macro" "microfitofago" "cryptophagidae" 1 3600 1 16 "Agrícola" "Cryptophagidae" 57600 "Microfitófagos" "A"
"15" "A" 1 "10" "10" "macro" "microfitofago" "larva_sciaridae" 1 3347.08822581161 1 16 "Agrícola" "Sciaridae larva" 53553.4116129858 "Microfitófagos" "A"
"16" "A" 1 "10" "10" "macro" "predador" "arannae" 1 400 1 16 "Agrícola" "Arannae" 6400 "Predadores" "A"
"17" "A" 1 "10" "10" "macro" "predador" "formicidae" 3 541.466667048731 3 48 "Agrícola" "Formicidae" 25990.4000183391 "Predadores" "A"
"18" "A" 1 "10" "10" "macro" "predador" "geophylomorpha" 1 630.784426022534 1 16 "Agrícola" "Geophilomorpha" 10092.5508163605 "Predadores" "A"
"19" "A" 1 "10" "10" "macro" "predador" "lycosidae" 4 7800 4 64 "Agrícola" "Lycosidae" 499200 "Predadores" "A"
"20" "A" 1 "10" "10" "macro" "predador" "staphylinidae" 10 2759.96186608482 12 192 "Agrícola" "Staphylinidae" 529912.678288285 "Predadores" "A"
"21" "A" 1 "10" "10" "meso" "detritivoro" "enquitreido" 46 1383.40999878125 55 162102 "Agrícola" "Enchytraeida" 224253527.622438 "Detritívoros" "A"
