"sitio" "replica" "estrato" "microhabitat" "taxa" "body_mass" "gremio" "clase_tam" "Sistema" "Taxón" "Gremio"
"1" "P" 3 "20" "20" "larva_scarabaeidae" 967200 "detritivoro" "macro" "Pastizal" "Scarabaeidae larva" "Detritivoro"
"2" "P" 1 "10" "10" "larva_scarabaeidae" 841200 "detritivoro" "macro" "Pastizal" "Scarabaeidae larva" "Detritivoro"
"3" "A" 1 "10" "10" "larva_scarabaeidae" 488400 "detritivoro" "macro" "Agrícola" "Scarabaeidae larva" "Detritivoro"
"4" "P" 2 "10" "10" "larva_scarabaeidae" 398000 "detritivoro" "macro" "Pastizal" "Scarabaeidae larva" "Detritivoro"
"5" "R" 3 "H" "H" "gasteropoda" 358400 "microfitofago" "macro" "Reserva" "Gasteropoda" "Microfitofago"
"6" "A" 3 "H" "H" "pythidae" 298800 "detritivoro" "macro" "Agrícola" "Pythidae" "Detritivoro"
"7" "P" 2 "10" "10" "larva_scarabaeidae" 262000 "detritivoro" "macro" "Pastizal" "Scarabaeidae larva" "Detritivoro"
"8" "P" 2 "10" "10" "larva_scarabaeidae" 251600 "detritivoro" "macro" "Pastizal" "Scarabaeidae larva" "Detritivoro"
"9" "P" 2 "10" "10" "larva_scarabaeidae" 251200 "detritivoro" "macro" "Pastizal" "Scarabaeidae larva" "Detritivoro"
"10" "P" 1 "H" "H" "larva_scarabaeidae" 218000 "detritivoro" "macro" "Pastizal" "Scarabaeidae larva" "Detritivoro"
"11" "A" 2 "H" "H" "lycosidae" 217600 "predador" "macro" "Agrícola" "Lycosidae" "Predador"
"12" "R" 1 "20" "20" "cicadidae" 205200 "herbivoro" "macro" "Reserva" "Cicadidae" "Herbivoro"
"13" "A" 2 "10" "10" "grillopalpidae" 195600 "predador" "macro" "Agrícola" "Grillopalpidae" "Predador"
"14" "R" 1 "H" "H" "gasteropoda" 163600 "microfitofago" "macro" "Reserva" "Gasteropoda" "Microfitofago"
"15" "R" 1 "20" "20" "cicadidae" 158000 "herbivoro" "macro" "Reserva" "Cicadidae" "Herbivoro"
"16" "R" 1 "20" "20" "cicadidae" 148400 "herbivoro" "macro" "Reserva" "Cicadidae" "Herbivoro"
"17" "R" 2 "H" "H" "oniscoidea" 132000 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"18" "A" 1 "10" "10" "Aporrectodea_trapezoides" 118800 "detritivoro" "macro" "Agrícola" "Aporrectodea trapezoides" "Detritivoro"
"19" "P" 3 "10" "10" "larva_scarabaeidae" 110000 "detritivoro" "macro" "Pastizal" "Scarabaeidae larva" "Detritivoro"
"20" "R" 1 "10" "10" "larva_carabidae" 106800 "predador" "macro" "Reserva" "Carabidae, larva" "Predador"
"21" "A" 2 "H" "H" "pythidae" 96000 "detritivoro" "macro" "Agrícola" "Pythidae" "Detritivoro"
"22" "A" 2 "10" "10" "Aporrectodea_caliginosa" 89250 "detritivoro" "macro" "Agrícola" "Aporrectodea caliginosa" "Detritivoro"
"23" "A" 1 "10" "10" "Aporrectodea_caliginosa" 84900 "detritivoro" "macro" "Agrícola" "Aporrectodea caliginosa" "Detritivoro"
"24" "R" 1 "10" "10" "Bimastos_beddardi_sophiae" 75750 "detritivoro" "macro" "Reserva" "Bimastos beddardi sophiae" "Detritivoro"
"25" "A" 2 "10" "10" "Aporrectodea_caliginosa" 73650 "detritivoro" "macro" "Agrícola" "Aporrectodea caliginosa" "Detritivoro"
"26" "A" 2 "H" "H" "oniscoidea" 73200 "detritivoro" "macro" "Agrícola" "Oniscoidea" "Detritivoro"
"27" "P" 1 "10" "10" "Aporrectodea_trapezoides" 72750 "detritivoro" "macro" "Pastizal" "Aporrectodea trapezoides" "Detritivoro"
"28" "P" 1 "H" "H" "diplopoda" 72000 "detritivoro" "macro" "Pastizal" "Diplopoda" "Detritivoro"
"29" "P" 2 "10" "10" "Aporrectodea_trapezoides" 68700 "detritivoro" "macro" "Pastizal" "Aporrectodea trapezoides" "Detritivoro"
"30" "A" 2 "10" "10" "juvenil" 68700 "detritivoro" "macro" "Agrícola" "Juvenil, lombriz" "Detritivoro"
"31" "P" 3 "10" "10" "Octolasion_tyrtaeum" 68100 "detritivoro" "macro" "Pastizal" "Octolasion tyrtaeum" "Detritivoro"
"32" "P" 2 "20" "20" "juvenil" 65250 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"33" "P" 1 "10" "10" "juvenil" 64950 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"34" "R" 3 "10" "10" "Aporrectodea_caliginosa" 64500 "detritivoro" "macro" "Reserva" "Aporrectodea caliginosa" "Detritivoro"
"35" "A" 2 "H" "H" "oniscoidea" 63200 "detritivoro" "macro" "Agrícola" "Oniscoidea" "Detritivoro"
"36" "A" 1 "H" "H" "lycosidae" 62400 "predador" "macro" "Agrícola" "Lycosidae" "Predador"
"37" "P" 2 "10" "10" "Octolasion_tyrtaeum" 59550 "detritivoro" "macro" "Pastizal" "Octolasion tyrtaeum" "Detritivoro"
"38" "A" 1 "10" "10" "Octalasion_cyaneum" 58200 "detritivoro" "macro" "Agrícola" "Octolasion cyaneum" "Detritivoro"
"39" "P" 3 "H" "H" "oniscoidea" 58000 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"40" "R" 2 "10" "10" "juvenil" 57900 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"41" "P" 1 "10" "10" "juvenil" 52950 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"42" "P" 1 "10" "10" "juvenil" 52200 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"43" "P" 1 "H" "H" "oniscoidea" 51600 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"44" "A" 3 "H" "H" "lycosidae" 51200 "predador" "macro" "Agrícola" "Lycosidae" "Predador"
"45" "R" 1 "10" "10" "juvenil" 49650 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"46" "R" 3 "10" "10" "juvenil" 49350 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"47" "R" 3 "10" "10" "diplopoda" 49200 "detritivoro" "macro" "Reserva" "Diplopoda" "Detritivoro"
"48" "R" 1 "10" "10" "Bimastos_beddardi_sophiae" 48600 "detritivoro" "macro" "Reserva" "Bimastos beddardi sophiae" "Detritivoro"
"49" "A" 1 "10" "10" "Aporrectodea_rosea" 48000 "detritivoro" "macro" "Agrícola" "Aporrectodea rosea" "Detritivoro"
"50" "P" 1 "H" "H" "oniscoidea" 47600 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"51" "P" 1 "H" "H" "oniscoidea" 47600 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"52" "P" 3 "10" "10" "oniscoidea" 47200 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"53" "P" 3 "10" "10" "juvenil" 47200 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"54" "R" 2 "H" "H" "diplopoda" 47200 "detritivoro" "macro" "Reserva" "Diplopoda" "Detritivoro"
"55" "R" 1 "10" "10" "oniscoidea" 45600 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"56" "A" 3 "10" "10" "juvenil" 45600 "detritivoro" "macro" "Agrícola" "Juvenil, lombriz" "Detritivoro"
"57" "R" 1 "10" "10" "Aporrectodea_caliginosa" 44250 "detritivoro" "macro" "Reserva" "Aporrectodea caliginosa" "Detritivoro"
"58" "P" 1 "10" "10" "oniscoidea" 43200 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"59" "R" 1 "10" "10" "Aporrectodea_trapezoides" 42900 "detritivoro" "macro" "Reserva" "Aporrectodea trapezoides" "Detritivoro"
"60" "P" 2 "H" "H" "oniscoidea" 42800 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"61" "R" 2 "10" "10" "juvenil" 42600 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"62" "R" 1 "10" "10" "Bimastos_beddardi_sophiae" 42600 "detritivoro" "macro" "Reserva" "Bimastos beddardi sophiae" "Detritivoro"
"63" "P" 2 "10" "10" "juvenil" 42600 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"64" "R" 2 "10" "10" "juvenil" 41100 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"65" "R" 1 "10" "10" "oniscoidea" 40400 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"66" "R" 1 "10" "10" "Bimastos_beddardi_sophiae" 39600 "detritivoro" "macro" "Reserva" "Bimastos beddardi sophiae" "Detritivoro"
"67" "A" 3 "10" "10" "grillopalpidae" 39200 "predador" "macro" "Agrícola" "Grillopalpidae" "Predador"
"68" "P" 1 "H" "H" "oniscoidea" 39200 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"69" "P" 1 "H" "H" "oniscoidea" 38800 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"70" "A" 2 "10" "10" "juvenil" 38250 "detritivoro" "macro" "Agrícola" "Juvenil, lombriz" "Detritivoro"
"71" "P" 2 "10" "10" "juvenil" 38100 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"72" "R" 3 "10" "10" "juvenil" 35700 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"73" "A" 3 "10" "10" "oniscoidea" 35600 "detritivoro" "macro" "Agrícola" "Oniscoidea" "Detritivoro"
"74" "R" 1 "H" "H" "oniscoidea" 35200 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"75" "P" 2 "10" "10" "juvenil" 34350 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"76" "P" 2 "10" "10" "juvenil" 34350 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"77" "P" 1 "H" "H" "oniscoidea" 33200 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"78" "P" 1 "H" "H" "oniscoidea" 33200 "detritivoro" "macro" "Pastizal" "Oniscoidea" "Detritivoro"
"79" "R" 1 "10" "10" "oniscoidea" 33200 "detritivoro" "macro" "Reserva" "Oniscoidea" "Detritivoro"
"80" "P" 2 "10" "10" "juvenil" 33150 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"81" "P" 1 "10" "10" "juvenil" 31650 "detritivoro" "macro" "Pastizal" "Juvenil, lombriz" "Detritivoro"
"82" "R" 2 "10" "10" "juvenil" 30750 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
"83" "R" 1 "10" "10" "Aporrectodea_trapezoides" 30300 "detritivoro" "macro" "Reserva" "Aporrectodea trapezoides" "Detritivoro"
"84" "P" 1 "20" "20" "lycosidae" 30000 "predador" "macro" "Pastizal" "Lycosidae" "Predador"
"85" "R" 1 "10" "10" "juvenil" 29850 "detritivoro" "macro" "Reserva" "Juvenil, lombriz" "Detritivoro"
