"sitio" "replica" "microhabitat" "taxa" "body_mass" "gremio"
"1" "P" 3 "20" "larva_scarabaeidae" "967200" "detritivoro"
"2" "P" 1 "10" "larva_scarabaeidae" "841200" "detritivoro"
"3" "L" 1 "10" "larva_scarabaeidae" "488400" "detritivoro"
"4" "P" 2 "10" "larva_scarabaeidae" "398000" "detritivoro"
"5" "R" 3 "H" "gasteropoda" "358400" "microfitofago"
"6" "L" 3 "H" "pythidae" "298800" "detritivoro"
"7" "P" 2 "10" "larva_scarabaeidae" "262000" "detritivoro"
"8" "P" 2 "10" "larva_scarabaeidae" "251600" "detritivoro"
"9" "P" 2 "10" "larva_scarabaeidae" "251200" "detritivoro"
"10" "P" 1 "H" "larva_scarabaeidae" "218000" "detritivoro"
"11" "L" 2 "H" "lycosidae" "217600" "predador"
"12" "R" 1 "20" "cicadidae" "205200" "herbivoro"
"13" "L" 2 "10" "grillopalpidae" "195600" "predador"
"14" "R" 1 "H" "gasteropoda" "163600" "microfitofago"
"15" "R" 1 "20" "cicadidae" "158000" "herbivoro"
"16" "R" 1 "20" "cicadidae" "148400" "herbivoro"
"17" "R" 2 "H" "oniscoidea" "132000" "detritivoro"
"18" "L" 1 "10" "Aporrectodea_trapezoides" "118800" "detritivoro"
"19" "P" 3 "10" "larva_scarabaeidae" "110000" "detritivoro"
"20" "R" 1 "10" "larva_carabidae" "106800" "predador"
"21" "L" 2 "H" "pythidae" "96000" "detritivoro"
"22" "L" 2 "10" "Aporrectodea_caliginosa" "89250" "detritivoro"
"23" "L" 1 "10" "Aporrectodea_caliginosa" "84900" "detritivoro"
"24" "R" 1 "10" "Bimastos_beddardi_sophiae" "75750" "detritivoro"
"25" "L" 2 "10" "Aporrectodea_caliginosa" "73650" "detritivoro"
"26" "L" 2 "H" "oniscoidea" "73200" "detritivoro"
"27" "P" 1 "10" "Aporrectodea_trapezoides" "72750" "detritivoro"
"28" "P" 1 "H" "diplopoda" "72000" "detritivoro"
"29" "P" 2 "10" "Aporrectodea_trapezoides" "68700" "detritivoro"
"30" "L" 2 "10" "juvenil" "68700" "detritivoro"
"31" "P" 3 "10" "Octolasion_tyrtaeum" "68100" "detritivoro"
"32" "P" 2 "20" "juvenil" "65250" "detritivoro"
"33" "P" 1 "10" "juvenil" "64950" "detritivoro"
"34" "R" 3 "10" "Aporrectodea_caliginosa" "64500" "detritivoro"
"35" "L" 2 "H" "oniscoidea" "63200" "detritivoro"
"36" "L" 1 "H" "lycosidae" "62400" "predador"
"37" "P" 2 "10" "Glossoscolex" "59550" "detritivoro"
"38" "L" 1 "10" "Octalasion_cyaneum" "58200" "detritivoro"
"39" "P" 3 "H" "oniscoidea" "58000" "detritivoro"
"40" "R" 2 "10" "juvenil" "57900" "detritivoro"
"41" "P" 1 "10" "juvenil" "52950" "detritivoro"
"42" "P" 1 "10" "juvenil" "52200" "detritivoro"
"43" "P" 1 "H" "oniscoidea" "51600" "detritivoro"
"44" "L" 3 "H" "lycosidae" "51200" "predador"
"45" "R" 1 "10" "juvenil" "49650" "detritivoro"
"46" "R" 3 "10" "juvenil" "49350" "detritivoro"
"47" "R" 3 "10" "diplopoda" "49200" "detritivoro"
"48" "R" 1 "10" "Bimastos_beddardi_sophiae" "48600" "detritivoro"
"49" "L" 1 "10" "Aporrectodea_rosea" "48000" "detritivoro"
"50" "P" 1 "H" "oniscoidea" "47600" "detritivoro"
"51" "P" 1 "H" "oniscoidea" "47600" "detritivoro"
"52" "P" 3 "10" "oniscoidea" "47200" "detritivoro"
"53" "P" 3 "10" "juvenil" "47200" "detritivoro"
"54" "R" 2 "H" "diplopoda" "47200" "detritivoro"
"55" "R" 1 "10" "oniscoidea" "45600" "detritivoro"
"56" "L" 3 "10" "juvenil" "45600" "detritivoro"
"57" "R" 1 "10" "Aporrectodea_caliginosa" "44250" "detritivoro"
"58" "P" 1 "10" "oniscoidea" "43200" "detritivoro"
"59" "R" 1 "10" "Aporrectodea_trapezoides" "42900" "detritivoro"
"60" "P" 2 "H" "oniscoidea" "42800" "detritivoro"
"61" "R" 2 "10" "juvenil" "42600" "detritivoro"
"62" "R" 1 "10" "Bimastos_beddardi_sophiae" "42600" "detritivoro"
"63" "P" 2 "10" "juvenil" "42600" "detritivoro"
"64" "R" 2 "10" "juvenil" "41100" "detritivoro"
"65" "R" 1 "10" "oniscoidea" "40400" "detritivoro"
"66" "R" 1 "10" "Bimastos_beddardi_sophiae" "39600" "detritivoro"
"67" "L" 3 "10" "grillopalpidae" "39200" "predador"
"68" "P" 1 "H" "oniscoidea" "39200" "detritivoro"
"69" "P" 1 "H" "oniscoidea" "38800" "detritivoro"
"70" "L" 2 "10" "juvenil" "38250" "detritivoro"
"71" "P" 2 "10" "juvenil" "38100" "detritivoro"
"72" "R" 3 "10" "juvenil" "35700" "detritivoro"
"73" "L" 3 "10" "oniscoidea" "35600" "detritivoro"
"74" "R" 1 "H" "oniscoidea" "35200" "detritivoro"
"75" "P" 2 "10" "juvenil" "34350" "detritivoro"
"76" "P" 2 "10" "juvenil" "34350" "detritivoro"
"77" "P" 1 "H" "oniscoidea" "33200" "detritivoro"
"78" "P" 1 "H" "oniscoidea" "33200" "detritivoro"
"79" "R" 1 "10" "oniscoidea" "33200" "detritivoro"
"80" "P" 2 "10" "juvenil" "33150" "detritivoro"
"81" "P" 1 "10" "juvenil" "31650" "detritivoro"
"82" "R" 2 "10" "juvenil" "30750" "detritivoro"
"83" "R" 1 "10" "Aporrectodea_trapezoides" "30300" "detritivoro"
"84" "P" 1 "20" "lycosidae" "30000" "predador"
"85" "R" 1 "10" "juvenil" "29850" "detritivoro"
"86" "P" 1 "10" "juvenil" "29850" "detritivoro"
"87" "R" 3 "10" "juvenil" "29850" "detritivoro"
"88" "R" 1 "10" "juvenil" "29700" "detritivoro"
"89" "L" 2 "10" "juvenil" "29400" "detritivoro"
"90" "R" 1 "H" "oniscoidea" "29200" "detritivoro"
"91" "L" 1 "10" "diplopoda" "29200" "detritivoro"
"92" "P" 3 "10" "juvenil" "28950" "detritivoro"
"93" "R" 2 "10" "geophylomorpha" "28800" "predador"
"94" "R" 1 "20" "Aporrectodea_rosea" "28650" "detritivoro"
"95" "R" 1 "10" "juvenil" "28050" "detritivoro"
"96" "P" 2 "10" "juvenil" "27900" "detritivoro"
"97" "R" 2 "10" "juvenil" "27450" "detritivoro"
"98" "R" 1 "H" "oniscoidea" "26800" "detritivoro"
"99" "L" 1 "10" "diplopoda" "25600" "detritivoro"
"100" "R" 2 "10" "juvenil" "25500" "detritivoro"
"101" "R" 1 "20" "juvenil" "25350" "detritivoro"
"102" "R" 3 "H" "oniscoidea" "24800" "detritivoro"
"103" "P" 1 "10" "juvenil" "24750" "detritivoro"
"104" "P" 2 "10" "juvenil" "24450" "detritivoro"
"105" "R" 1 "H" "oniscoidea" "24400" "detritivoro"
"106" "L" 1 "10" "diplopoda" "24400" "detritivoro"
"107" "R" 2 "H" "oniscoidea" "24000" "detritivoro"
"108" "L" 1 "10" "diplopoda" "24000" "detritivoro"
"109" "P" 1 "H" "oniscoidea" "23600" "detritivoro"
"110" "P" 1 "10" "oniscoidea" "23600" "detritivoro"
