Sitio	replica	estrato	UnidadTaxonómica	Largo	Ancho	body_mass
P	3	20	larva_scarabidae			967200
P	1	10	larva_scarabidae			841200
L	1	10	larva_scarabidae			488400
P	2	10	larva_scarabidae			398000
R	3	H	gastropoda			358400
L	3	H	pythidae			298800
P	2	10	larva_scarabidae			262000
P	2	10	larva_scarabidae			251600
P	2	10	larva_scarabidae			251200
P	1	H	larva_scarabidae			218000
L	2	H	lycosidae			217600
R	1	20	cicadidae			205200
L	2	10	grillopalpidae			195600
R	1	H	gastropoda			163600
R	1	20	cicadidae			158000
R	1	20	cicadidae			148400
R	2	H	oniscoidea			132000
L	1	10	Apodorrectodeatrapezoides			118800
P	3	10	larva_scarabidae			110000
R	1	10	larva_carabidae			106800
L	2	H	pythidae			96000
L	2	10	Apodorrectodeacaliginosa			89250
L	1	10	Apodorrectodeacaliginosa			84900
R	1	10	Bimastosbeddardisophiae			75750
L	2	10	Apodorrectodeacaliginosa			73650
L	2	H	oniscoidea			73200
P	1	10	Apodorrectodeatrapezoides			72750
P	1	H	diplopoda			72000
P	2	10	Apodorrectodeatrapezoides			68700
L	2	10	juvenil			68700
P	3	10	Octolasiontyrtaeum			68100
P	2	20	juvenil			65250
P	1	10	juvenil			64950
R	3	10	Apodorrectodeacaliginosa			64500
L	2	H	oniscoidea			63200
L	1	H	lycosidae			62400
P	2	10	Glossoscolexsp.			59550
L	1	10	Octalasioncyaneum			58200
P	3	H	oniscoidea			58000
R	2	10	juvenil			57900
P	1	10	juvenil			52950
P	1	10	juvenil			52200
P	1	H	oniscoidea			51600
L	3	H	lycosidae			51200
R	1	10	juvenil			49650
R	3	10	juvenil			49350
R	3	10	diplopoda			49200
R	1	10	Bimastosbeddardisophiae			48600
L	1	10	Aporrectodearosea			48000
P	1	H	oniscoidea			47600
P	1	H	oniscoidea			47600
P	3	10	oniscoidea			47200
P	3	10	juvenil			47200
R	2	H	diplopoda			47200
R	1	10	oniscoidea			45600
L	3	10	juvenil			45600
R	1	10	Aporrectodeacaliginosa			44250
P	1	10	oniscoidea			43200
R	1	10	Aporrectodeatrapezoides			42900
P	2	H	oniscoidea			42800
R	2	10	juvenil			42600
R	1	10	Bimastosbeddardisophiae			42600
P	2	10	juvenil			42600
R	2	10	juvenil			41100
R	1	10	oniscoidea			40400
R	1	10	Bimastosbeddardisophiae			39600
L	3	10	grillopalpidae			39200
P	1	H	oniscoidea			39200
P	1	H	oniscoidea			38800
L	2	10	juvenil			38250
P	2	10	juvenil			38100
R	3	10	juvenil			35700
L	3	10	oniscoidea			35600
R	1	H	oniscoidea			35200
P	2	10	juvenil			34350
P	2	10	juvenil			34350
P	1	H	oniscoidea			33200
P	1	H	oniscoidea			33200
R	1	10	oniscoidea			33200
P	2	10	juvenil			33150
P	1	10	juvenil			31650
R	2	10	juvenil			30750
