sitio	replica	estrato	taxa	abundance	body_mass	size_class
P	3	20	larva_scarabidae	1	967200	macro
P	1	10	larva_scarabidae	1	841200	macro
L	1	10	larva_scarabidae	1	488400	macro
P	2	10	larva_scarabidae	4	290700	macro
P	1	H	larva_scarabidae	1	218000	macro
L	2	H	lycosidae	1	217600	macro
L	2	10	grillopalpidae	1	195600	macro
P	3	10	larva_scarabidae	1	110000	macro
R	1	20	cicadidae	6	92200	macro
L	1	10	Apodorrectodea caliginosa	1	84900	macro
L	2	10	Apodorrectodea caliginosa	2	81450	macro
L	2	H	oniscidea	2	68200	macro
P	3	10	Octolasion tyrtaeum	1	68100	macro
R	3	10	Apodorrectodea caliginosa	1	64500	macro
P	2	10	Glossoscolex sp.	1	59550	macro
L	1	10	Octalasion cyaneum	1	58200	macro
R	1	H	gasteropoda	11	54569.1608252341	macro
R	1	10	Bimastos beddardi sophiae	4	51637.5	macro
R	3	10	diplopoda	1	49200	macro
L	1	10	Aporrectodea rosea	1	48000	macro
R	2	H	diplopoda	1	47200	macro
L	3	10	juvenil	1	45600	macro
R	3	10	Aporrectodea caliginosa	1	44250	macro
L	2	10	Aporrectodea caliginosa	2	44250	macro
L	1	10	Aporrectodea caliginosa	1	44250	macro
R	1	10	Aporrectodea caliginosa	1	44250	macro
P	1	H	diplopoda	2	40800	macro
L	3	10	grillopalpidae	1	39200	macro
P	2	10	Aporrectodea trapezoides	1	36600	macro
L	1	10	Aporrectodea trapezoides	1	36600	macro
P	1	10	Aporrectodea trapezoides	1	36600	macro
R	1	10	Aporrectodea trapezoides	2	36600	macro
L	2	10	juvenil	5	33240	macro
P	3	10	juvenil	2	32412.5	macro
P	1	10	juvenil	11	30136.3636363636	macro
P	1	20	lycosidae	1	30000	macro
R	1	20	Aporrectodea rosea	1	28650	macro
L	3	10	larva_carabidae	1	24649.3049606	macro
L	3	H	larva_carabidae	2	24649.3049606	macro
P	2	10	larva_carabidae	1	24649.3049606	macro
R	3	H	gasteropoda	59	24488.5600354099	macro
L	3	10	oniscidea	2	23800	meso
P	1	H	Aporrectodea rosea	1	22500	macro
L	3	20	oniscidea	1	21600	meso
L	1	10	tenebrionidae	1	21600	macro
L	1	H	lycosidae	5	20880	macro
P	1	10	diplopoda	2	20800	macro
P	2	20	juvenil	4	20362.5	macro
R	1	10	oniscidea	8	19800	meso
P	2	H	juvenil	1	19200	macro
L	3	H	lycosidae	3	18666.6666666667	macro
R	1	H	oniscidea	7	18000	meso
P	3	10	oniscidea	3	17990.2980438667	meso
L	2	H	diplopoda	7	17771.4285714286	macro
R	2	10	juvenil	21	16928.5714285714	macro
R	2	10	diplopoda	2	16800	macro
L	1	10	ortoptero	1	16800	macro
P	1	20	diplopoda	1	16800	macro
L	2	20	diplopoda	1	16400	macro
P	2	10	juvenil	15	15607.1428571429	macro
P	2	H	tenebrionidae	1	15600	macro
R	1	H	diplopoda	1	15200	macro
R	2	H	larva_sciaridae	5	15118.8980471951	meso
R	3	H	diplopoda	1	14800	macro
P	2	20	anthribidae	4	14600	macro
L	1	10	diplopoda	20	14580	macro
L	2	10	diplopoda	13	14061.5384615385	macro
P	1	20	hemiptero	1	14000	macro
P	1	10	tenebrionidae	1	13600	macro
L	2	10	oniscidea	1	13200	meso
P	3	H	oniscidea	4	12655.1075066	meso
P	3	20	oniscidea	1	12400	meso
R	3	20	oniscidea	3	12266.6666666667	meso
R	3	20	geophylomorpha	1	12000	macro
R	3	20	juvenil	1	12000	macro
R	1	10	diplopoda	1	12000	macro
